Name,Description,Category
Hamza,Uncle of the Prophet,Sahaba
Abbas,Uncle of the Prophet,Sahaba
Jafar,Cousin of the Prophet,Sahaba
Adam,First Prophet,Prophets
Noah,Prophet of the Ark,Prophets
Abraham,Father of Prophets,Prophets
Ishmael,Son of Abraham,Prophets
Isaac,Son of Abraham,Prophets
Jacob,Son of Isaac,Prophets
Joseph,Prophet in Egypt,Prophets
Moses,Prophet of the Torah,Prophets
Aaron,Brother of Moses,Prophets
David,Prophet King,Prophets
Solomon,Wise Prophet King,Prophets
Job,Patient Prophet,Prophets
Jonah,Prophet of the Whale,Prophets
Elijah,Prophet of Israel,Prophets
Elisha,Prophet of Israel,Prophets
Zachariah,Father of John,Prophets
John,Prophet and cousin,Prophets
Jesus,Prophet and Messiah,Prophets
Muhammad,Final Prophet,Prophets
Lot,Prophet to his people,Prophets
Shuaib,Prophet of Midian,Prophets
Hud,Prophet to Ad,Prophets
Saleh,Prophet to Thamud,Prophets
Idris,Early Prophet,Prophets
Dhul-Kifl,Righteous Prophet,Prophets
Yunus,Another name for Jonah,Prophets
Allah,The One God,Islamic Terms
Islam,The religion,Islamic Terms
Muslim,A believer,Islamic Terms
Quran,Holy Book,Islamic Terms
Hadith,Prophetic sayings,Islamic Terms
Sunnah,Prophetic tradition,Islamic Terms
Salah,Prayer,Islamic Terms
Zakat,Charity,Islamic Terms
Sawm,Fasting,Islamic Terms
Hajj,Pilgrimage,Islamic Terms
Shahada,Declaration of faith,Islamic Terms
Iman,Faith,Islamic Terms
Taqwa,God-consciousness,Islamic Terms
Dua,Supplication,Islamic Terms
Dhikr,Remembrance,Islamic Terms
Jannah,Paradise,Islamic Terms
Jahannam,Hell,Islamic Terms
Ramadan,Fasting month,Islamic Terms
Eid,Islamic celebration,Islamic Terms
Kaaba,Sacred house,Islamic Terms
Mecca,Holy city,Islamic Terms
Medina,City of the Prophet,Islamic Terms
Masjid,Mosque,Islamic Terms
Imam,Prayer leader,Islamic Terms
Wudu,Ablution,Islamic Terms
Mecca,Holiest city in Islam,Islamic Locations
Jerusalem,Third holiest site,Islamic Locations
Kaaba,House of Allah,Islamic Locations
Masjid al-Haram,Grand Mosque in Mecca,Islamic Locations
Masjid al-Nabawi,Prophet's Mosque,Islamic Locations
Al-Aqsa,Farthest Mosque,Islamic Locations
Dome of the Rock,Islamic shrine,Islamic Locations
Mount Arafat,Place of standing,Islamic Locations
Mina,Valley near Mecca,Islamic Locations
Muzdalifah,Sacred area,Islamic Locations
Safa,Hill in Mecca,Islamic Locations
Marwa,Hill in Mecca,Islamic Locations
Zamzam,Sacred well,Islamic Locations
Cave Hira,Place of revelation,Islamic Locations
Cave Thawr,Refuge during migration,Islamic Locations
Uhud,Mountain near Medina,Islamic Locations
Badr,Historic battlefield,Islamic Locations
Quba,First mosque,Islamic Locations
Jannat al-Baqi,Cemetery in Medina,Islamic Locations
Mount Uhud,Mountain of martyrs,Islamic Locations
Hudaybiyyah,Treaty location,Islamic Locations
Taif,City near Mecca,Islamic Locations
Tabuk,Northern city,Islamic Locations
Khaybar,Historic oasis,Islamic Locations
Yemen,Land of faith,Islamic Locations
Damascus,Historic Islamic city,Islamic Locations
Baghdad,Abbasid capital,Islamic Locations
Cordoba,Islamic Spain,Islamic Locations
Salahuddin,Liberator of Jerusalem,Muslim Historical Figures
Ibn Sina,Renowned physician,Muslim Historical Figures
Al-Khwarizmi,Father of algebra,Muslim Historical Figures
Ibn Rushd,Great philosopher,Muslim Historical Figures
Al-Ghazali,Islamic theologian,Muslim Historical Figures
Ibn Battuta,Great traveler,Muslim Historical Figures
Al-Biruni,Polymath scholar,Muslim Historical Figures
Ibn Khaldun,Historian and sociologist,Muslim Historical Figures
Harun al-Rashid,Abbasid Caliph,Muslim Historical Figures
Tariq ibn Ziyad,Conqueror of Spain,Muslim Historical Figures
Umar ibn Abdul Aziz,Pious Caliph,Muslim Historical Figures
Imam Bukhari,Hadith compiler,Muslim Historical Figures
Imam Muslim,Hadith compiler,Muslim Historical Figures
Imam Abu Hanifa,Jurist and scholar,Muslim Historical Figures
Imam Malik,Jurist and scholar,Muslim Historical Figures
Imam Shafi,Jurist and scholar,Muslim Historical Figures
Imam Ahmad,Jurist and scholar,Muslim Historical Figures
Al-Farabi,Philosopher,Muslim Historical Figures
Ibn Taymiyyah,Islamic scholar,Muslim Historical Figures
Al-Razi,Physician and chemist,Muslim Historical Figures
Omar Khayyam,Poet and mathematician,Muslim Historical Figures
Fatima al-Fihri,Founder of university,Muslim Historical Figures
Nusaybah,Female warrior,Muslim Historical Figures
Sultan Mehmed,Conqueror of Constantinople,Muslim Historical Figures
