Name,Description,Category
,Pakistani weddings would be incomplete without ____.,Wedding Drama
,The bride's family and groom's family fought over ____.,Wedding Drama
,The most embarrassing wedding moment was ____.,Wedding Drama
,At my wedding I'm definitely not having ____.,Wedding Drama
,The aunties at the wedding were gossiping about ____.,Wedding Drama
,The wedding was ruined by ____.,Wedding Drama
,Pakistani wedding photographers love to capture ____.,Wedding Drama
,The mehndi function was cancelled because of ____.,Wedding Drama
,The worst wedding gift I ever received was ____.,Wedding Drama
,Pakistani weddings waste money on ____.,Wedding Drama
,The groom's side brought ____ as jahez.,Wedding Drama
,The wedding hall ran out of ____.,Wedding Drama
,The hardest part of Ramadan is ____.,Ramadan Life
,I broke my fast early because of ____.,Ramadan Life
,Sehri is incomplete without ____.,Ramadan Life
,The worst thing to smell during Ramadan is ____.,Ramadan Life
,I gained weight in Ramadan because of ____.,Ramadan Life
,Taraweeh would be easier if it wasn't for ____.,Ramadan Life
,My mom made ____ for iftar again.,Ramadan Life
,The most annoying question during Ramadan is ____.,Ramadan Life
,I can't wait for Ramadan to end so I can ____.,Ramadan Life
,Ramadan productivity is killed by ____.,Ramadan Life
,The best part of Ramadan is ____.,Ramadan Life
,I accidentally ____ while fasting.,Ramadan Life
,Laylatul Qadr is best spent ____.,Ramadan Life
,The Ramadan struggle is real when ____.,Ramadan Life
,Everyone becomes religious during Ramadan because of ____.,Ramadan Life
,My teacher caught me ____.,School Days
,The worst subject in school was ____.,School Days
,I got detention for ____.,School Days
,The class troublemaker was known for ____.,School Days
,Pakistani schools are obsessed with ____.,School Days
,I cheated on my exam using ____.,School Days
,The principal called my parents because of ____.,School Days
,School assemblies were always about ____.,School Days
,The most useless thing we learned in school was ____.,School Days
,My excuse for not doing homework was ____.,School Days
,The teacher's pet always ____.,School Days
,I got bullied for ____.,School Days
,The school canteen was famous for ____.,School Days
,PTI period was actually for ____.,School Days
,I'll never forget when my teacher ____.,School Days
,The rishta was rejected because of ____.,Rishta Culture
,Aunties judge rishtas based on ____.,Rishta Culture
,The worst rishta question is ____.,Rishta Culture
,I rejected the rishta because they ____.,Rishta Culture
,Rishta aunties are obsessed with ____.,Rishta Culture
,The boy's family asked about ____.,Rishta Culture
,Rishta meetings always include ____.,Rishta Culture
,I lied about ____ during the rishta meeting.,Rishta Culture
,The deal breaker for the rishta was ____.,Rishta Culture
,Pakistani parents think the perfect rishta has ____.,Rishta Culture
,The most awkward rishta moment is ____.,Rishta Culture
,They brought ____ to impress the girl's family.,Rishta Culture
,The rishta was finalized because of ____.,Rishta Culture
,Rishta culture needs to stop ____.,Rishta Culture
,The worst thing about rishta hunting is ____.,Rishta Culture
,Pakistani traffic is full of ____.,Traffic & Travel
,The worst thing about Karachi roads is ____.,Traffic & Travel
,I got into a road rage fight over ____.,Traffic & Travel
,Pakistani drivers think traffic rules are ____.,Traffic & Travel
,The rickshaw driver charged extra for ____.,Traffic & Travel
,Lahore metro would be better if it had ____.,Traffic & Travel
,I missed my flight because of ____.,Traffic & Travel
,Pakistani airports are known for ____.,Traffic & Travel
,The worst travel companion is someone who ____.,Traffic & Travel
,Motorway travel is ruined by ____.,Traffic & Travel
,Daewoo buses smell like ____.,Traffic & Travel
,The traffic warden tried to fine me for ____.,Traffic & Travel
,Pakistani roads need more ____.,Traffic & Travel
,I survived Pakistani traffic thanks to ____.,Traffic & Travel
,The most dangerous thing on Pakistani roads is ____.,Traffic & Travel
,The best biryani is made with ____.,Food Debates
,People who put ____ in biryani should be arrested.,Food Debates
,Karachi biryani is better than Lahori biryani because of ____.,Food Debates
,The worst food combination is ____.,Food Debates
,Chai is incomplete without ____.,Food Debates
,The most overrated Pakistani dish is ____.,Food Debates
,I will fight anyone who says ____ doesn't belong in nihari.,Food Debates
,Pakistani street food is dangerous because of ____.,Food Debates
,The secret ingredient in my mom's cooking is ____.,Food Debates
,weddings serve too much ____.,Food Debates
,The worst thing to serve guests is ____.,Food Debates
,Paratha is best eaten with ____.,Food Debates
,Pakistani breakfast is incomplete without ____.,Food Debates
,The food debate that will never end is ____.,Food Debates
,I judge people who don't like ____.,Food Debates
,My Instagram is full of ____.,Social Media
,I got cancelled on Twitter for ____.,Social Media
,The most annoying thing on social media is ____.,Social Media
,I unfollowed someone because they posted ____.,Social Media
,Pakistani social media is obsessed with ____.,Social Media
,My most liked post was about ____.,Social Media
,I regret posting ____ on my story.,Social Media
,Facebook uncles and aunties always comment ____.,Social Media
,The worst social media trend is ____.,Social Media
,I'm addicted to scrolling through ____.,Social Media
,TikTok in Pakistan is just ____.,Social Media
,I got blocked for ____.,Social Media
,LinkedIn is full of people posting about ____.,Social Media
,The fastest way to go viral in Pakistan is ____.,Social Media
,I'm only on social media for ____.,Social Media
,My boss is obsessed with ____.,Work Life
,The worst thing about office life is ____.,Work Life
,I got fired for ____.,Work Life
,Office meetings are just ____.,Work Life
,My coworker won't stop talking about ____.,Work Life
,The office WhatsApp group is full of ____.,Work Life
,I pretend to work by ____.,Work Life
,Pakistani offices run on ____ and gossip.,Work Life
,The most useless job is ____.,Work Life
,I called in sick because of ____.,Work Life
,Office politics revolve around ____.,Work Life
,The worst coworker is someone who ____.,Work Life
,I deserve a raise for dealing with ____.,Work Life
,Work from home is ruined by ____.,Work Life
,The office kitchen always smells like ____.,Work Life
,Every family gathering has ____.,Family Gatherings
,The most annoying relative is the one who ____.,Family Gatherings
,Family WhatsApp groups are full of ____.,Family Gatherings
,I avoid family gatherings because of ____.,Family Gatherings
,The aunties at family gatherings always ask about ____.,Family Gatherings
,Family reunions are ruined by ____.,Family Gatherings
,The worst part of Eid is ____.,Family Gatherings
,Family dinners always end in arguments about ____.,Family Gatherings
,The favorite child always gets ____.,Family Gatherings
,I'm the black sheep of the family because of ____.,Family Gatherings
,Extended family gatherings smell like ____.,Family Gatherings
,The uncle who thinks he's funny always jokes about ____.,Family Gatherings
,I fake ____ to leave family gatherings early.,Family Gatherings
,Family gatherings would be better without ____.,Family Gatherings
,The worst time to fart is ____.,Body Functions
,I couldn't hold in ____ during the meeting.,Body Functions
,Nothing clears a room faster than ____.,Body Functions
,I blamed ____ on the dog.,Body Functions
,The most embarrassing body function is ____.,Body Functions
,I had to run to the bathroom because of ____.,Body Functions
,The worst thing to do after eating spicy biryani is ____.,Body Functions
,I can't believe I ____ during the moment of silence.,Body Functions
,The smell of ____ ruined the romantic moment.,Body Functions
,I got sick from eating ____.,Body Functions
,The bathroom at the wedding was destroyed by ____.,Body Functions
,I sneezed and accidentally ____.,Body Functions
,The worst place to have diarrhea is ____.,Body Functions
,I burped and it tasted like ____.,Body Functions
,My stomach made weird noises because of ____.,Body Functions
,Pakistan won the match thanks to ____.,Cricket Fever
,The worst thing about Pakistani cricket is ____.,Cricket Fever
,I stopped watching cricket because of ____.,Cricket Fever
,Pakistani cricket fans are obsessed with ____.,Cricket Fever
,The match was fixed by ____.,Cricket Fever
,Babar Azam needs to work on ____.,Cricket Fever
,Pakistan lost because of ____.,Cricket Fever
,The most annoying cricket commentator is ____.,Cricket Fever
,Pakistani cricket would be better with ____.,Cricket Fever
,I threw my TV remote because of ____.,Cricket Fever
,The real captain of Pakistan cricket team is ____.,Cricket Fever
,Cricket matches in Pakistan are incomplete without ____.,Cricket Fever
,The worst cricket decision ever was ____.,Cricket Fever
,Pakistani cricket fans will blame ____ for the loss.,Cricket Fever
,The most dramatic cricket moment was ____.,Cricket Fever
,The best part of Eid is ____.,Eid Traditions
,Eid is ruined by ____.,Eid Traditions
,I spent my Eidi on ____.,Eid Traditions
,The worst Eid gift is ____.,Eid Traditions
,Eid namaz is always ____.,Eid Traditions
,Eid shopping is stressful because of ____.,Eid Traditions
,The best Eid memory is ____.,Eid Traditions
,Eid would be perfect without ____.,Eid Traditions
,I gained weight on Eid from ____.,Eid Traditions
,The most annoying Eid tradition is ____.,Eid Traditions
,Eid visits are exhausting because of ____.,Eid Traditions
,The kids only care about ____.,Eid Traditions
,Eid day starts with ____.,Eid Traditions
,The worst thing about Eid is ____.,Eid Traditions
,The most annoying aunty question is ____.,Aunties
,Aunties at weddings are obsessed with ____.,Aunties
,I avoid aunties because they always ask about ____.,Aunties
,Aunties think the solution to everything is ____.,Aunties
,The aunty WhatsApp group is full of ____.,Aunties
,Aunties love to gossip about ____.,Aunties
,The worst aunty advice is ____.,Aunties
,Aunties will never stop asking about ____.,Aunties
,I can't stand aunties who ____.,Aunties
,Aunties think every problem is caused by ____.,Aunties
,Aunties judge you based on ____.,Aunties
,The most toxic aunty behavior is ____.,Aunties
,Aunties are experts at ____.,Aunties
,University students survive on ____.,Student Life
,The worst part of university is ____.,Student Life
,I failed my exam because of ____.,Student Life
,Hostel life is all about ____.,Student Life
,The most useless degree is ____.,Student Life
,I bunked class to ____.,Student Life
,University cafeteria food tastes like ____.,Student Life
,The professor caught me ____.,Student Life
,Group projects are ruined by ____.,Student Life
,I chose my major because of ____.,Student Life
,The night before exams is spent ____.,Student Life
,Pakistani universities are obsessed with ____.,Student Life
,The worst classmate is someone who ____.,Student Life
,I regret studying ____.,Student Life
,University taught me ____.,Student Life
,Load shedding ruined ____.,Load Shedding
,The worst time for load shedding is ____.,Load Shedding
,I can't do ____ because of load shedding.,Load Shedding
,Load shedding in summer means ____.,Load Shedding
,Pakistani summers are unbearable because of ____.,Load Shedding
,I invested in ____ because of load shedding.,Load Shedding
,Load shedding during Ramadan is ____.,Load Shedding
,The government blames load shedding on ____.,Load Shedding
,I lost ____ because of load shedding.,Load Shedding
,Load shedding schedule is as reliable as ____.,Load Shedding
,The worst thing about load shedding is ____.,Load Shedding
,Load shedding taught Pakistanis ____.,Load Shedding
,I can survive load shedding with ____.,Load Shedding
,Load shedding will end when ____.,Load Shedding
,The real reason for load shedding is ____.,Load Shedding
,I went to the Hakeem for ____.,Medical Mishaps
,The Pakistani doctor prescribed ____.,Medical Mishaps
,The worst medical advice is ____.,Medical Mishaps
,I Googled my symptoms and found out I have ____.,Medical Mishaps
,The hospital waiting room smells like ____.,Medical Mishaps
,I'm too embarrassed to tell the doctor about ____.,Medical Mishaps
,Desi totkas include ____.,Medical Mishaps
,My mom thinks all illnesses are cured by ____.,Medical Mishaps
,The worst place to get sick is ____.,Medical Mishaps
,Pakistani pharmacies sell ____.,Medical Mishaps
,I got food poisoning from ____.,Medical Mishaps
,The doctor said I need to stop ____.,Medical Mishaps
,Home remedies are better than ____.,Medical Mishaps
,I fainted because of ____.,Medical Mishaps
,The worst medical experience was ____.,Medical Mishaps
,My sibling always gets away with ____.,Sibling Rivalry
,The favorite child gets ____.,Sibling Rivalry
,I got blamed for ____ that my sibling did.,Sibling Rivalry
,My brother/sister is annoying because of ____.,Sibling Rivalry
,Sibling fights are always about ____.,Sibling Rivalry
,My parents love my sibling more because of ____.,Sibling Rivalry
,I stole ____ from my sibling.,Sibling Rivalry
,The worst thing about having siblings is ____.,Sibling Rivalry
,My sibling embarrassed me by ____.,Sibling Rivalry
,I'll never forgive my sibling for ____.,Sibling Rivalry
,Siblings are only useful for ____.,Sibling Rivalry
,My sibling and I compete over ____.,Sibling Rivalry
,The best part about siblings is ____.,Sibling Rivalry
,I ratted out my sibling for ____.,Sibling Rivalry
,Pakistani parents always compare siblings based on ____.,Sibling Rivalry
,My vacation was ruined by ____.,Travel Disasters
,I lost my passport because of ____.,Travel Disasters
,The hotel room had ____.,Travel Disasters
,I got sick during the trip from ____.,Travel Disasters
,The worst thing about traveling is ____.,Travel Disasters
,The tour guide kept talking about ____.,Travel Disasters
,I regret packing ____.,Travel Disasters
,The worst tourist destination is ____.,Travel Disasters
,I got scammed by ____.,Travel Disasters
,Traveling with family means ____.,Travel Disasters
,The airport security stopped me for ____.,Travel Disasters
,I'll never travel to ____ again.,Travel Disasters
,The worst part of the trip was ____.,Travel Disasters
,I'm broke because of ____.,Money Problems
,The worst financial decision was ____.,Money Problems
,I wasted money on ____.,Money Problems
,Pakistani economy is ruined by ____.,Money Problems
,I can't afford ____ anymore.,Money Problems
,The rupee is falling because of ____.,Money Problems
,I'm saving money for ____.,Money Problems
,The worst investment is ____.,Money Problems
,I went into debt because of ____.,Money Problems
,Rich people waste money on ____.,Money Problems
,The fastest way to go broke is ____.,Money Problems
,I regret spending money on ____.,Money Problems
,Pakistani inflation is caused by ____.,Money Problems
,I'm hiding ____ from my spouse.,Money Problems
,The best way to save money is ____.,Money Problems
,The worst fashion trend is ____.,Fashion Fails
,I regret wearing ____.,Fashion Fails
,Pakistani fashion is obsessed with ____.,Fashion Fails
,The most embarrassing outfit is ____.,Fashion Fails
,I had a wardrobe malfunction because of ____.,Fashion Fails
,Fashion advice from aunties includes ____.,Fashion Fails
,The worst thing to wear to a wedding is ____.,Fashion Fails
,I judge people who wear ____.,Fashion Fails
,Pakistani men's fashion is just ____.,Fashion Fails
,The most overpriced clothing item is ____.,Fashion Fails
,I can't believe ____ is back in style.,Fashion Fails
,The worst fashion mistake is ____.,Fashion Fails
,Modest fashion means ____.,Fashion Fails
,I spent too much money on ____.,Fashion Fails
,The ugliest outfit I've seen is ____.,Fashion Fails
,What if Pakistan was ruled by ____?,Absurd Scenarios
,In an alternate universe ____ is the national dish.,Absurd Scenarios
,I would trade my kidney for ____.,Absurd Scenarios
,The zombie apocalypse would be caused by ____.,Absurd Scenarios
,If I could time travel I would ____.,Absurd Scenarios
,The cure for all problems is ____.,Absurd Scenarios
,In my next life I want to come back as ____.,Absurd Scenarios
,The secret to world peace is ____.,Absurd Scenarios
,If animals could talk they would complain about ____.,Absurd Scenarios
,The weirdest superpower would be ____.,Absurd Scenarios
,I would survive on a desert island with ____.,Absurd Scenarios
,The most useless invention is ____.,Absurd Scenarios
,If I ruled the world I would ban ____.,Absurd Scenarios
,The strangest job in Pakistan would be ____.,Absurd Scenarios
,In 100 years Pakistan will be known for ____.,Absurd Scenarios
,The worst way to die is ____.,Absurd Scenarios
,If I had superpowers I would use them for ____.,Absurd Scenarios
,The most bizarre law should be ____.,Absurd Scenarios
,Aliens would be confused by ____.,Absurd Scenarios
,The apocalypse will start with ____.,Absurd Scenarios
,The most overrated Pakistani drama is ____.,Bollywood & Drama
,Every Pakistani drama has ____.,Bollywood & Drama
,The worst thing about Pakistani dramas is ____.,Bollywood & Drama
,I stopped watching dramas because of ____.,Bollywood & Drama
,Pakistani drama moms are always ____.,Bollywood & Drama
,The most unrealistic thing in Pakistani dramas is ____.,Bollywood & Drama
,Every drama serial needs ____.,Bollywood & Drama
,The most annoying drama character is ____.,Bollywood & Drama
,Pakistani dramas are obsessed with ____.,Bollywood & Drama
,I'm addicted to watching ____.,Bollywood & Drama
,The best Bollywood movie is about ____.,Bollywood & Drama
,Pakistani actors are famous for ____.,Bollywood & Drama
,The drama OST that won't leave my head is ____.,Bollywood & Drama
,Every saas-bahu drama includes ____.,Bollywood & Drama
,I judge people who watch ____.,Bollywood & Drama
,The most dramatic scene ever was ____.,Bollywood & Drama
,Pakistani morning shows are full of ____.,Bollywood & Drama
,The worst drama ending was ____.,Bollywood & Drama
,I secretly love ____.,Bollywood & Drama
,The government is hiding ____.,Conspiracy Theories
,The real reason for ____ is a conspiracy.,Conspiracy Theories
,I actually believe in ____.,Conspiracy Theories
,Pakistan is secretly controlled by ____.,Conspiracy Theories
,The Yahoodi Sazish uses ____ to control us.,Conspiracy Theories
,Aliens are responsible for ____.,Conspiracy Theories
,The moon landing was faked using ____.,Conspiracy Theories
,Big pharma doesn't want you to know about ____.,Conspiracy Theories
,The real purpose of ____ is mind control.,Conspiracy Theories
,Wake up sheeple! ____ is a lie!,Conspiracy Theories
,They're putting ____ in the water.,Conspiracy Theories
,The media is covering up ____.,Conspiracy Theories
,5G towers are actually ____.,Conspiracy Theories
,The earth is flat because of ____.,Conspiracy Theories
,Chemtrails are spreading ____.,Conspiracy Theories
,The New World Order wants ____.,Conspiracy Theories
,Birds aren't real they're ____.,Conspiracy Theories
,The real cause of inflation is ____.,Conspiracy Theories
,My aunty believes in ____.,Conspiracy Theories
,WhatsApp forwards claim that ____ will cure everything.,Conspiracy Theories
,My childhood was ruined by ____.,Childhood Trauma
,I'm still traumatized by ____.,Childhood Trauma
,My parents scarred me with ____.,Childhood Trauma
,The worst punishment was ____.,Childhood Trauma
,I cried for days because of ____.,Childhood Trauma
,My teacher traumatized me by ____.,Childhood Trauma
,I'm in therapy because of ____.,Childhood Trauma
,The scariest thing from my childhood was ____.,Childhood Trauma
,I still have nightmares about ____.,Childhood Trauma
,My siblings tortured me with ____.,Childhood Trauma
,I was terrified of ____.,Childhood Trauma
,The worst thing about growing up was ____.,Childhood Trauma
,I'll never forgive my parents for ____.,Childhood Trauma
,Pakistani kids were traumatized by ____.,Childhood Trauma
,The chittar was nothing compared to ____.,Childhood Trauma
,I developed trust issues because of ____.,Childhood Trauma
,My childhood fear was ____.,Childhood Trauma
,I was bullied for ____.,Childhood Trauma
,The worst part of childhood was ____.,Childhood Trauma
,I'm still recovering from ____.,Childhood Trauma
,The worst internet trend is ____.,Internet Culture
,I'm addicted to ____.,Internet Culture
,The most viral meme is ____.,Internet Culture
,Twitter is toxic because of ____.,Internet Culture
,I got cancelled for ____.,Internet Culture
,The most annoying tiktoker is ____.,Internet Culture
,TikTok ruined ____.,Internet Culture
,The internet was a mistake because of ____.,Internet Culture
,I spent 5 hours scrolling through ____.,Internet Culture
,The worst online community is ____.,Internet Culture
,YouTube recommendations led me to ____.,Internet Culture
,I'm chronically online because of ____.,Internet Culture
,The most cringe content is ____.,Internet Culture
,Instagram vs reality is just ____.,Internet Culture
,The algorithm thinks I like ____.,Internet Culture
,I went viral for ____.,Internet Culture
,The worst part of social media is ____.,Internet Culture
,Pakistani internet is obsessed with ____.,Internet Culture
,I learned ____ from the internet.,Internet Culture
,The most toxic fandom is ____.,Internet Culture
,The biggest red flag is ____.,Relationship Red Flags
,I should have known when they ____.,Relationship Red Flags
,Run away if they ____.,Relationship Red Flags
,It's over when they start ____.,Relationship Red Flags
,I ignored the red flag of ____.,Relationship Red Flags
,The worst thing a partner can do is ____.,Relationship Red Flags
,The rishta broke because they ____.,Relationship Red Flags
,Toxic relationships always include ____.,Relationship Red Flags
,The dealbreaker for me is ____.,Relationship Red Flags
,I knew they were crazy when they ____.,Relationship Red Flags
,Never marry someone who ____.,Relationship Red Flags
,The relationship ended after ____.,Relationship Red Flags
,My ex was obsessed with ____.,Relationship Red Flags
,I should have left when they ____.,Relationship Red Flags
,The worst relationship advice is ____.,Relationship Red Flags
,Pakistani relationships are ruined by _____,Relationship Red Flags
,I'm single because I won't tolerate ____.,Relationship Red Flags
,The biggest turnoff is ____.,Relationship Red Flags
,I dodged a bullet when they ____.,Relationship Red Flags
,Love is blind but ____ should be obvious.,Relationship Red Flags
,My most toxic trait is ____.,Toxic Traits
,I'm toxic because I ____.,Toxic Traits
,I know it's wrong but I ____.,Toxic Traits
,My red flag is ____.,Toxic Traits
,I'm working on not ____.,Toxic Traits
,People hate when I ____.,Toxic Traits
,I'm self-aware enough to know I ____.,Toxic Traits
,My therapist says I need to stop ____.,Toxic Traits
,I gaslight people by ____.,Toxic Traits
,I'm manipulative when it comes to ____.,Toxic Traits
,My worst habit is ____.,Toxic Traits
,I'm petty about ____.,Toxic Traits
,I hold grudges over ____.,Toxic Traits
,I'm jealous of ____.,Toxic Traits
,I sabotage relationships with ____.,Toxic Traits
,I can't help but ____.,Toxic Traits
,My toxic behavior includes ____.,Toxic Traits
,I'm in denial about ____.,Toxic Traits
,People leave me because of ____.,Toxic Traits
,I refuse to change ____.,Toxic Traits
,I saw a jinn ____.,Supernatural
,My house is haunted by ____.,Supernatural
,Black magic caused ____.,Supernatural
,I went to a peer/baba for ____.,Supernatural
,The scariest supernatural experience was ____.,Supernatural
,Nazar lagi because of ____.,Supernatural
,I believe in ____.,Supernatural
,My grandmother's ghost ____.,Supernatural
,The taweez protected me from ____.,Supernatural
,I got possessed by ____.,Supernatural
,Jinns are attracted to ____.,Supernatural
,The most haunted place in Pakistan is ____.,Supernatural
,I performed ruqyah for ____.,Supernatural
,The evil eye caused ____.,Supernatural
,I saw ____ at 3 AM.,Supernatural
,My paranormal experience involved ____.,Supernatural
,Pakistani horror stories always include ____.,Supernatural
,I'm scared of ____ because of jinns.,Supernatural
,The amil said I was cursed with ____.,Supernatural
,Supernatural beings fear ____.,Supernatural
,My worst life choice was ____.,Bad Life Choices
,I regret ____.,Bad Life Choices
,I should never have ____.,Bad Life Choices
,The dumbest thing I ever did was ____.,Bad Life Choices
,I wasted years on ____.,Bad Life Choices
,My biggest mistake was ____.,Bad Life Choices
,I ruined my life with ____.,Bad Life Choices
,If I could go back I wouldn't ____.,Bad Life Choices
,I'm still paying for ____.,Bad Life Choices
,The worst decision was choosing ____.,Bad Life Choices
,I threw away my future for ____.,Bad Life Choices
,I wish I never ____.,Bad Life Choices
,My life went downhill after ____.,Bad Life Choices
,I sacrificed everything for ____.,Bad Life Choices
,The choice I regret most is ____.,Bad Life Choices
,I destroyed my rishta by ____.,Bad Life Choices
,I lost everything because of ____.,Bad Life Choices
,My parents warned me about ____.,Bad Life Choices
,I ignored good advice and ____.,Bad Life Choices
,The turning point was when I ____.,Bad Life Choices
,An unexpected benefit of working from home is ____.,Work Life
,Let's prank our teacher on Zoom. Everybody should ____!,School Days
,My kid stays in their room all day doing ____.,Parents
,"Instead of complaining to the manager, Aunties should be complaining about ____.",Aunties
,"I still have a job, but only because ____.",Work Life
,An unknown side effect of eating too much biryani is ____.,Food Debates
,One thing all Pakistanis can agree on is ____.,Pakistani Problems
,The latest WhatsApp forward says that ____ causes cancer.,Conspiracy Theories
,"Scientists think the virus came from bats, but it actually came from ____.",Conspiracy Theories
,The best way to get kids excited about school is ____.,School Days
,Describe the state of the economy in three words: ____.,Money Problems
,We should replace the traffic police with ____.,Traffic & Travel
,I wasn't worried about the petrol shortage because ____.,Pakistani Problems
,The surprising new service Daraz is rolling out is ____.,Internet Culture
,What would convince you to trust a suspicious street vendor? ____.,Food Debates
,My medical report just said '____'.,Medical Mishaps
,A movie title that describes my life is ____.,Bollywood & Drama
,"The government won't fix the roads, but they will take away your ____.",Pakistani Problems
,What caused this year to be such a disaster? ____.,Pakistani Problems
,Aunties everywhere just can’t stop complaining about ____.,Aunties
,The stupidest excuse for missing work is ____.,Work Life
,"It's worse than load shedding, it's worse than traffic, it's ____!",Pakistani Problems
,"The critics panned ____ as ""poorly conceived"" and ""sloppily executed"".",90s Nostalgia Pack
,"Believe it or not, Shakeel Siddiqui can do a dead-on impression of ____.",90s Nostalgia Pack
,Hey Twitter! I'm ____. Ask me anything.,Base Game
,"Introducing X-treme Cricket! It's like cricket, but with ____!",Base Game
,What is Batman's guilty pleasure.,Base Game
,FIA guidelines now prohibit ____ on airplanes.,Base Game
,"Just once, I'd like to hear you say ""Thanks, Mom. Thanks for ____.""",Base Game
,"Daddy, why is mommy crying?",Base Game
,Next from J. K. Rowling: Harry Potter and the Chamber of ____.,Base Game
,"That's right, I killed ____. How, you ask? ____.",Base Game
,"I'm sorry, Professor, but I couldn't complete my homework because of ____.",Base Game
,And the Lux Style Award for ____ goes to ____.,Base Game
,50% of all marriages end in ____.,Base Game
,"My fellow Pakistanis: Before this decade is out, we will have ____ on the moon!",Base Game
,"Dude, do not go in that bathroom. There's ____ in there.",Base Game
,It's a pity that kids these days are all getting involved with ____.,Base Game
,Step 1: ____. Step 2: ____. Step 3: Profit.,Base Game
,What's Teach For Pakistan using to inspire students to succeed?,Base Game
,Mabe she's born with it. Maybe it's ____.,Base Game
,What is the PM thinking about right now?,Base Game
,____. Betcha can't have just one!,Base Game
,"Kids, I don't need drugs to get high. I'm high on ____.",Base Game
,"For my next trick, I will pull ____ out of ____.",Base Game
,Burgers like ____.,Base Game
,____ is a slippery slope that leads to ____.,Base Game
,Why do I hurt all over?,Base Game
,A romantic dinner would be incomplete without ____.,Base Game
,What's my secret power?,Base Game
,I'm going on a cleanse this week. Nothing but karela juice and ____.,Base Game
,____ + ____\n= ____.,Base Game
,Just saw this upsetting video! Please retweet!! #stop____,Base Game
,The class field trip was completely ruined by ____.,Base Game
,What's a girl's best friend?,Base Game
,"When I am PM, I will create the Department of ____.",Base Game
,What are my parents hiding from me?,Base Game
,"I'm no doctor but I'm pretty sure what you're suffering from is called ""____.""",Base Game
,What's there a ton of in heaven?,Base Game
,"After four Hit songs and three Lux Style Awards, it's time to get back to my roots, to what inspired me to make music in the first place: ____.",Base Game
,What never fails to liven up the party?,Base Game
,"IF you like ____, YOU MIGHT BE A PENDU.",Base Game
,Make a haiku.,Base Game
,What made my first rishta meeting so awkward?,Base Game
,They said we were crazy. They said we couldn't put ____ inside of ____. They were wrong.,Base Game
,"Hum TV presents ""____: the Story of ____.""",Base Game
,"____: kid-tested, mother-approved.",Base Game
,Why can't I sleep at night?,Base Game
,"Hey guys, welcome to Nando's! Would you like to start the night off right with ____?",Base Game
,I got 99 problems but ____ ain't one.,Base Game
,____. It's a trap!,Base Game
,ARY's new reality show features eight washed-up celebrities living with ____.,Base Game
,What's that smell?,Base Game
,"After five years in office, how is The President finally letting loose?",Base Game
,This is the way the world ends\nThis is the way the world ends\nNot with a bang but with ____.,Base Game
,"What would grandma find disturbing, yet oddly charming?",Base Game
,____. That was so metal.,Base Game
,I never truly understood ____ until I encountered ____.,Base Game
,"But before I kill you, Mr. Bond, I must show you ____.",Base Game
,Introducing the amazing superhero/sidekick duo! It's ____ and ____!,Base Game
