Description,Category
How likely are you to try exotic street food?,0 to 100
How adventurous are you on vacation?,0 to 100
How likely are you to overpack for a trip?,0 to 100
How many suitcases do you usually take for a week-long trip?,Number
How good are you at packing efficiently?,0 to 100
How likely are you to arrive at the airport 4 hours early?,0 to 100
How much do you enjoy flying?,0 to 100
How likely are you to sleep on a plane?,0 to 100
How many unread books are on your shelf?,Number
How likely are you to read a book in one sitting?,0 to 100
How good are you at writing poetry?,0 to 100
How likely are you to write a book someday?,0 to 100
How much do you enjoy solving puzzles?,0 to 100
How good are you at Sudoku?,0 to 100
How likely are you to finish a crossword puzzle?,0 to 100
How many riddles do you know by heart?,Number
How good are you at telling jokes?,0 to 100
How likely are you to be the class clown?,0 to 100
How many pranks have you successfully pulled?,Number
How much do you enjoy watching comedy shows?,0 to 100
How likely are you to laugh at your own jokes?,0 to 100
How good are you at impressions?,0 to 100
How likely are you to participate in a play?,0 to 100
How many movies have you watched in a theater this year?,Number
How much do you enjoy 3D movies?,0 to 100
How likely are you to cry during a sad movie scene?,0 to 100
How many times have you walked out of a movie?,Number
How likely are you to spoil a movie for others?,0 to 100
How good are you at predicting movie plot twists?,0 to 100
How likely are you to watch a movie without checking ratings?,0 to 100
How much do you enjoy documentaries?,0 to 100
How likely are you to watch a foreign language film?,0 to 100
How many TV series are you currently watching?,Number
How likely are you to cancel plans to watch TV?,0 to 100
How good are you at handling spoilers?,0 to 100
How likely are you to rewatch The Office?,0 to 100
How much do you enjoy reality TV?,0 to 100
How likely are you to vote in a reality show?,0 to 100
How many cooking shows do you watch?,Number
How likely are you to try a recipe from TikTok?,0 to 100
How good are you at baking?,0 to 100
How likely are you to burn toast?,0 to 100
How many cups of tea do you drink in a day?,Number
How much do you love coffee?,0 to 100
How likely are you to drink black coffee?,0 to 100
How good are you at making latte art?,0 to 100
How many different types of tea have you tried?,Number
How likely are you to drink Green Tea for health?,0 to 100
How much do you enjoy fast food?,0 to 100
How likely are you to order a salad at a burger joint?,0 to 100
How many slices of pizza is your limit?,Number
How good are you at using chopsticks?,0 to 100
How likely are you to try sushi?,0 to 100
How much do you enjoy spicy food?,0 to 100
How likely are you to add extra hot sauce?,0 to 100
How many types of pickle (Achaar) do you like?,Number
How good are you at making omelets?,0 to 100
How likely are you to skip breakfast?,0 to 100
How many liters of water do you drink daily?,Number
How good are you at staying hydrated?,0 to 100
How likely are you to carry a water bottle everywhere?,0 to 100
How much do you enjoy fizzy drinks?,0 to 100
How likely are you to give up sugar?,0 to 100
How many days have you gone without dessert?,Number
How good are you at resisting chocolate?,0 to 100
How likely are you to eat ice cream in winter?,0 to 100
How much do you enjoy examining old photos?,0 to 100
How likely are you to print your digital photos?,0 to 100
How many photo albums do you have?,Number
How good are you at remembering childhood memories?,0 to 100
How likely are you to keep old letters/cards?,0 to 100
How sentimental are you?,0 to 100
How likely are you to cry at a graduation?,0 to 100
How much do you value family traditions?,0 to 100
How likely are you to host a family dinner?,0 to 100
How many cousins can you name in 30 seconds?,Number
How good are you at keeping in touch with relatives?,0 to 100
How likely are you to visit your hometown?,0 to 100
How much do you enjoy village life?,0 to 100
How likely are you to milk a cow?,0 to 100
How many times have you ridden a horse?,Number
How good are you at gardening?,0 to 100
How likely are you to grow your own vegetables?,0 to 100
How many indoor plants do you have?,Number
How much do you enjoy nature walks?,0 to 100
How likely are you to go camping?,0 to 100
How good are you at setting up a tent?,0 to 100
How likely are you to go fishing?,0 to 100
How many fish have you caught?,Number
How much do you enjoy swimming?,0 to 100
How likely are you to dive into the deep end?,0 to 100
How good are you at floating?,0 to 100
