Name,Description,Category
NOT CONFUSING <---> VERY CONFUSING,Write a piece of advice that is this confusing,Writing
SAFE <---> GETS YOU KILLED,Write a piece of advice that is this likely to get you killed,Writing
NOT A SCAM <---> TOTALLY A SCAM,Write a piece of advice that is this likely to be part of an investment scam,Writing
NOT COOL <---> COOLEST IN TOWN,Write a piece of advice that is this likely to make you the coolest person in town,Writing
10 YEARS OLD <---> 100 YEARS OLD,Write a piece of advice that would be useful to someone this many years old,Writing
NOT HELPFUL <---> VERY MAGICALLY HELPFUL,Write a piece of advice that would be this helpful when ruling a magical kingdom,Writing
NOT MEAN <---> VERY MEAN,Make up a name for a restaurant where the waiters are this mean to you,Writing
NOT LIKELY <---> VERY LIKELY,Make up a name for a restaurant that's this likely to be shut down for health code violations,Writing
NOT POPULAR <---> COOL TEENS LUV IT!,Make up a name for a restaurant that is this popular with cool teens,Writing
DEF OFFERS MEAT <---> ONLY VEGETARIAN,Make up a name for a restaurant that is this likely to only offer vegetarian options,Writing
10 MINUTES <---> 100 MINUTES,Make up a name for a restaurant where you'd have to wait this many minutes to get a table,Writing
NOT LIKELY <---> VERY VERY LIKELY,Make up a name for a restaurant where they're this likely to secretly serve human flesh,Writing
BARELY HATE IT <---> REALLY REALLY HATE IT,Make up a name for a restaurant where the waitstaff hates working there this much,Writing
NOT LIKELY <---> WANTED!!!,Make up a name of a person who is this likely to be on a wanted poster in the wild west,Writing
THE 1950s <---> THE 2040s,Make up a title for a movie that is set during this decade,Writing
NOT LIKELY <---> VERY LIKELY,Make up a title for a book that is this likely to be in a famous book club,Writing
NORMAL & BORING <---> EPIC FANTASY,Make up a title for a book that is this likely to be an epic fantasy,Writing
TRUSTWORTHY <---> TOTAL BETRAYAL,Make up a name for a person who is this likely to dramatically betray you,Writing
NOT LIKELY <---> VERY LIKELY,"Make up a name for a restaurant that is this likely to serve ""exotic meats""",Writing
MOM HATES <---> MOM LOVES,Write the first line of a rishta profile that a mother is this likely to love,Writing
NOT A CELEB <---> FAMOUS CELEB,Make up a book title that is this likely to be a celebrity tell-all,Writing
NO LAUGHS <---> ROTFL,Make up a title for a book that is this likely to make you laugh out loud,Writing
SOME ADULT <---> COOL TEEN,"Write a text message that is this likely to have been written by a young, cool teen",Writing
NOT A GHOST <---> GHOST TEXT!!!,Write a text message that is this likely to have been written by a ghost,Writing
NOT A PILOT <---> DEF A PILOT,Make up a name of a person who is this likely to be a pilot,Writing
NORMAL HUMAN <---> ALIEN,Write the first line of a rishta profile that is this likely to be an alien trying to learn more about humans,Writing
NOT AN ALIEN <---> DEF AN ALIEN,Write a piece of advice that is this likely to have been written by an extra terrestrial,Writing
NOT A KILLER <---> SERIAL KILLER!!!,Write the first line of a rishta profile that is this likely to be a serial killer,Writing
NOT LIKELY <---> VERY LIKELY,Make up a title for a book that is this likely to be assigned in a British Literature class,Writing
NOT SEUSS <---> DEFINITELY SEUSS,Make up a title for a book that is this likely to be a lost Dr. Seuss book,Writing
TOO SAFE <---> TOTALLY BANNED,Make up a title for a book that is this likely to get banned,Writing
NOT LIKELY <---> VERY LIKELY,Make up a name that is this likely to be a famous film star,Writing
NOT SCI-FI <---> SO SCI-FI,Write a catchphrase for a made-up TV show that is this likely to be a sci-fi show,Writing
NOT IN OFFICE <---> POPULAR OFFICE MUG,Make up a catchphrase that is this likely to be on a coffee mug in an office,Writing
FINE FOR SCHOOL <---> SENT HOME,Make up a catchphrase for a t-shirt that would be this likely to get someone sent home from school,Writing
NOT FUN <---> SO FUN!!!,Make up a catchphrase that would be this fun to say,Writing
EASY TO SAY <---> IMPOSSIBLE,Make up a catchphrase that would be this difficult to say out loud,Writing
NOT A PIRATE GHOST <---> DEF A PIRATE GHOST,Make up a catchphrase that is this likely to be said by a pirate ghost,Writing
THE YEAR 1950 <---> THE YEAR 2040,Make up a catchphrase for a detective from this year,Writing
NOT LIKELY <---> VERY LIKELY,Make up a name that is this likely to be a medieval European monarch,Writing
DECENT <---> VERY ANNOYING,Make up a catchphrase for a sitcom character who is this annoying,Writing
NOT RAD <---> HELLA RAD,Make up a catchphrase that is this likely to be said by someone on a skateboard,Writing
THEATRICAL RELEASE <---> STRAIGHT TO VIDEO,Make up a title for a movie sequel that is this likely to be straight-to-video,Writing
PRETTY COOL <---> VERY PASSIVE-AGGRESSIVE,Write the first line of a rishta profile for someone who is this passive-aggressive,Writing
THEY’RE LYING <---> THEY READ IT,Make up a title for a book that a person is this likely to be telling the truth if they say they’ve read it,Writing
NOT LIKELY <---> VERY DADLY,Make up a title for a book that you’re this likely to buy for a dad,Writing
NOT A SPY <---> TOTAL SPY,Make up a name for someone who is this likely to be a spy,Writing
NOT LIKELY <---> KID SHOW LEAD,Make up a name for a person who is this likely to be the lead character in a children's TV show,Writing
NOT A COWBOY <---> TOTAL COWBOY,Write a piece of advice that is this likely to have been written by a cowboy,Writing
NOT A CHEF <---> TRES CHEF,Write a piece of advice that is this likely to have been written by a French chef,Writing
INACCURATE <---> ACCURATE,Make up a title for a textbook that is probably this accurate,Writing
NOT MAGICAL <---> MAGICALLY MAGICAL,Make up a name for a fantasy land that is magical,Writing
HUH? <---> PROBABLY REAL,Make up a name for a country that's this realistic-sounding,Writing
INEXPENSIVE <---> VERY EXPENSIVE,Make up the name of a perfume that costs this much,Writing
SMELLS FINE <---> SMELLS TERRIBLE,Make up a name for a perfume that would smell this terrible,Writing
DADS HATE <---> DADS LOVE,Make up the name of a cricket team that’s this likely to be popular with dads,Writing
KIDS HATE <---> KIDS LOVE,Make up a name for a cricket team that’s this likely to be popular with kids,Writing
NOT LIKELY <---> VERY LIKELY,"Make up a writer that’s this likely to have a hit book called ""2 Cool 4 Skool""",Writing
NOT STAR WARS <---> VERY STAR WARS,Make up a name for a planet that’s this likely to be in the Star Wars universe,Writing
EXCITING <---> VERY BORING,Make up a name for a small town that’s this boring,Writing
NOT SUPER <---> VERY SUPER,Make up a name for a city that’s this likely to be full of superheroes,Writing
DOIN' FINE <---> NEEDS VENGEANCE,Make up a catchphrase that’s this likely to be yelled by someone seeking vengeance,Writing
NOT FOOD <---> VERY FOOD,Make up a perfume name that’s this likely to smell like food,Writing
NO WAY <---> meet CITY!,Make up a name for a place where teenagers are this likely to go to meet,Writing
DRY <---> TOO WET,Make up a name for a place that is probably this wet,Writing
UNSAFE <---> SO SAFE,Make up a name for a place that’s this kid-safe,Writing
CHILL <---> VERY ANGRY,Make up a name for a crowd that’s this angry,Writing
REAL NAME <---> TOTAL STAGE NAME,Make up a artist’s name that is this likely to be a stage name,Writing
A TEAM <---> A CRICKET TEAM,Make up a team name that is this likely to be a cricket team,Writing
“THEY SOUND NICE” <---> “YOU LIKE THEM?”,Make up a team name that someone’s mom would say with this much disdain,Writing
APOLITICAL <---> FIGHT THE POWER,Make up a name for a politician whose message is this political,Writing
SO SAFE <---> SO DANGEROUS,Make up a name for a place that would be this dangerous to visit,Writing
NO ROCK <---> ALL ROCK,Make up a title for a movie that is this likely to star The Rock,Writing
CONFIDENT <---> VERY DESPERATE,Write the first line of a rishta profile that is this desperate,Writing
NOT LIKELY <---> TOTAL COWBOY,Write a text message that is this likely to have been written by a cowboy,Writing
NOT CHAOTIC <---> VERY CHAOTIC,Write an excuse for being late that is this chaotic,Writing
HAPPY TEEN <---> ANGSTY TEEN,Write an excuse for being late that is this likely to have been written by an angsty teen,Writing
BAD MEETING SPOT <---> GREAT MEETING SPOT,Make up a name for a restaurant that is this likely to be a good meeting spot,Writing
NOT LIKELY <---> CRIME-FIGHTING DOG,Make up a name that is this likely to be a crime-fighting dog,Writing
NOT VAMPIRE <---> VERY VAMPIRE,Make up a catchphrase that is this likely to be uttered by a vampire,Writing
NICE cafe <---> DIVE cafe,Make up the name of a cafe that’s this likely to be a total dive,Writing
NO BEARS <---> ALL BEARS,Make up a name for a town that is this likely to be run by bears,Writing
NOT A PIRATE <---> TOTAL PIRATE,Make up a name that is this likely to be a pirate,Writing
MORTAL <---> TOTAL VAMPIRE,Make up a name for a person who is this likely to be a vampire,Writing
TEN BUCKS <---> $100,Make up a name for a cafe where the drinks cost this much,Writing
NOT SCARY <---> VERY SCARY,Make up a name for a place that is this scary to get lost in,Writing
A DUMP <---> OOOH LA LA!,Make up a name for a place that is this glamorous,Writing
NOT TOUGH <---> VERY TOUGH,Make up a nickname for a person who is this tough,Writing
BAD AT JOB <---> GREAT AT JOB,Make up a nickname for a person who is this good at their job,Writing
ON TOP OF IT <---> VERY CONFUSED,Write a text message from a delivery driver who seems this confused,Writing
HATES CHICKEN <---> LOVES CHICKEN,Make up a nickname for a person who loves chicken this much,Writing
NOT FISHY <---> VERY FISHY,Make up a name for a perfume that smells this fishy,Writing
ARTIFICIAL <---> ALL-NATURAL,Make up a name for a perfume that smells this all-natural,Writing
NO BURNING <---> AHHHHH!!!,Make up a name for a perfume that would burn this much,Writing
NOT LIKELY <---> PILLOW WORTHY,Make up a catchphrase that is this likely to be on an old decorative pillow,Writing
A MESS <---> VERY FANCY,Make up a nickname for a person who is this fancy,Writing
MEH <---> PLEASE VISIT!!,Make up a catchphrase for a state tourism board that sounds this desperate,Writing
10 YEARS OLD <---> 100 YEARS OLD,Make up a name for a group of friends with members who are this old,Writing
NOT LIKELY <---> VERY LIKELY,Make up the name of a person who is this likely to be the murderer in a murder mystery,Writing
WHO? <---> VERY FAMOUS,Make up a title for an autobiography of someone who is this famous,Writing
EASY TO MAKE <---> HARD TO MAKE,Make up a title for a cookbook where the recipes are this hard to make,Writing
NOT FIT <---> VERY FIT,Make up a nickname for a person who is this fitness conscious,Writing
NOT LIKELY <---> VERY LIKELY,Make up a name for a restaurant that is this likely to be a front for organized crime,Writing
CROWDED <---> ZERO CUSTOMERS,Make up a name for a store that is this likely to have zero customers,Writing
NOT KING <---> TOTALLY KING,Make up a title for a book that is this likely to eventually be written by Stephen King,Writing
VERY UNPOPULAR <---> VERY POPULAR,Make up a title for a book that is this popular with animal lovers,Writing
NOT LIKELY <---> VERY LIKELY,Make up a title for a movie that is this likely to be a Lifetime Channel revenge thriller,Writing
MODERN <---> OLD & FOLKSY,Make up a catchphrase that is this folksy,Writing
NOT LIKELY <---> VERY LIKELY,Make up a name for a restaurant whose servers are this likely to wear skimpy uniforms,Writing
THE YEAR 1950 <---> THE YEAR 2040,Make up a catchphrase that is most likely said by a teen during this year,Writing
NOT LIKELY <---> VERY LIKELY,Write a catchphrase that is this likely to be said by a chicken farmer,Writing
NOT REBELS <---> VERY REBELS,Make up a name that’s this likely to be a group of rebels,Writing
NO WRESTLER <---> WRESTLER PERFUME!,Make up the name for a perfume that’s this likely to be marketed by a wrestler,Writing
NOT HAUNTED <---> VERY HAUNTED,Make up a name for a town that is this haunted,Writing
SERIOUS <---> TOTAL CLOWN,Make up a name for a person who is this likely to be a class clown,Writing
UNCOOL <---> VERY COOL,Make up a nickname for a person who is this cool,Writing
BAD COOK <---> GREAT COOK,Make up a nickname for a person who is this good at cooking,Writing
1 SEQUEL <---> 10 SEQUELS,Make up a title for a book that probably has this many sequels,Writing
NOT A BIRD <---> THAT’S A BIRD,Write a piece of advice that is this likely to be given by a bird,Writing
NO AUTOCORRECT <---> ALL AUTOCORRECT,Write a text message that is this riddled with autocorrect,Writing
NOT NUTRITIOUS <---> VERY NUTRITIOUS,Draw a snack that is this nutritious,Writing
NOT LIKELY <---> SENIOR HOME,Make up a name for a facility that is this likely to be a senior home,Writing
NOT LIKELY <---> VERY LIKELY,Make up a name for a place where mobsters are this likely to dispose of a body,Writing
EASY <---> IMPOSSIBLE,Make up a name for a desert that is this difficult to get across alive,Writing
NOT LIKELY <---> VERY LIKELY,Make up a name for an estate that is this likely to be in a Jane Austen novel,Writing
NOT HEROIC <---> SUPER HEROIC,Make up a name for a headquarters that sounds this super-heroic,Writing
EASY <---> IMPOSSIBLE,Make up a name for a mountain that is this difficult to climb,Writing
SOME PERSON <---> POET,Make up a name for a person who is this likely to be a classical poet,Writing
FLATLANDER <---> MOUNTAIN PERSON,Make up a name for someone who is this likely to live in the mountains,Writing
HUMAN <---> NON-HUMAN,Make up a title for a children’s book that is this likely to have a non-human protagonist,Writing
DISORGANIZED <---> TOO ORGANIZED,Make up a nickname for someone who is this organized,Writing
NEVER LATE <---> ALWAYS LATE,Make up a nickname for someone who is this frequently late,Writing
VEGETARIAN <---> ALL MEAT,Make up a nickname for a person whose diet is this much meat,Writing
BEGINNING <---> END,Write a line of dialogue that happens this percentage of the way through a made-up movie,Writing
BAD BOOK <---> CLASSIC,"Write a line of dialogue for a made-up book that is, overall, this well-written",Writing
REJECTED <---> WINS,Write a line of dialogue for a character in a made-up drama that is this likely to win the prize at the end,Writing
DIE IMMEDIATELY <---> SURVIVES,Write a line of dialogue for a character in a made-up horror movie that is this likely to survive,Writing
NO SPEECH <---> BLAH BLAH BLAH!!!!,Write a line of dialogue for a made-up film that is this likely to immediately be followed by breaking out into a speech,Writing
SILLY <---> VERY SERIOUS,"Write a line of dialogue for a made-up play that is, overall, this serious and dramatic",Writing
NO LEARNING <---> EDUCATIONAL,Write a line of dialogue for a made-up video game that is this likely to be educational,Writing
SIMPLE <---> VERY MESSY,Draw a breakfast in bed that is this messy to eat,Writing
NOT FUNNY <---> HILARIOUS,Write a line of dialogue for a made-up comedy movie that is this funny,Writing
NOT A VILLAIN <---> VILLAIN!,Write a line of dialogue for a character in a made-up movie that is this villainous,Writing
HUH?! <---> GOOD SCIENCE,Write a line of dialogue for a sci-fi movie that sounds this scientifically accurate,Writing
DRY-EYES <---> FULL-ON SOBS,Make up a line of dialogue from a movie that is this likely to make you cry,Writing
NOT ABOUT HUMANS <---> ALL ABOUT HUMANS,Make up a cookbook title that is this likely to be about cooking humans,Writing
RARELY <---> VERY OFTEN,Make up a name for a drink that gets served this much around Eid,Writing
NOT LIKELY <---> FANTASY CLIMAX,Write a line of dialogue that is this likely to be the climax of a fantasy movie,Writing
WHO? <---> VERY SIGNIFICANT,Write a last line of dialogue for a dying character whose death is this significant,Writing
1950 <---> 2040,Make up a line of dialogue for a movie set in this decade,Writing
NOT AN EX <---> EX TEXT!,Write a text message that it’s this likely is from an ex,Writing
NOT FRENCH <---> OUI OUI,Make up a perfume name that is this French-sounding,Writing
CLOSED ON EID <---> OPEN ON EID,Make up a name for a restaurant that is this likely to be open on Eid,Writing
NOT FUN <---> TOTALLY FUN,Make up a name for a group that is this likely to be a fun group,Writing
TRASHY <---> TOO FANCY,Make up a name for a restaurant that is this fancy,Writing
ONE PERSON <---> TEN PEOPLE,Make up a name for a team that has this many members,Writing
10 YEARS OLD <---> 100 YEARS OLD,Make up a name for a poet who is this old,Writing
NOT <---> COMEDY,Make up a title for a movie that is this likely to be a delightful family comedy,Writing
NOT FOR FAMILIES <---> FAMILY FRIENDLY,Make up a title for a movie that’s this family friendly,Writing
NO WAY <---> BEST PICTURE,Make up a title for a movie that is this likely to win Best Picture,Writing
JUST PLEASANT <---> CRIME THRILLER,Make up a title for a movie that is this likely to be a hardboiled crime thriller,Writing
NOT ABE <---> ABE LINCOLN!,Write the first line of a rishta profile that is this likely to have been written by Abe Lincoln,Writing
NOT LIKELY <---> VERY LIKELY,Make up a name for a restaurant that is this likely to have a pirate for a mascot,Writing
CHEWY HATES <---> CHEWY LOVES,Make up a name for a perfume that is this likely to be Chewbacca’s favorite fragrance,Writing
NOPE DEPOT <---> HOME DEPOT,Make up a name for a perfume that is this likely to be sold at Home Depot,Writing
1950 <---> 2040,Write a piece of advice that would be helpful for a time traveler visiting this year,Writing
COMMON <---> ROYALTY,Write the first line of a rishta profile for someone that is this likely to be royalty,Writing
NOT A KNIGHT <---> DEF A KNIGHT,Write a piece of advice that is this likely to have been given by a medieval knight,Writing
TERRIBLE <---> VERY HELPFUL,Write a piece of advice that would be this helpful for a new parent,Writing
NOT MANLY <---> TOO MANLY,Make up a name for a cologne that’s this manly,Writing
ADULT NAMED IT <---> CHILD NAMED IT,Make up a name for a perfume that is this likely to have been named by a child,Writing
BRADS HATE IT <---> BRADS LOVE IT,Make up a name for a cologne that is this popular with people named Brad,Writing
NO MAGIC <---> FULL OF MAGIC,Make up a name for a perfume that is this magical,Writing
AWFEL SPELER <---> GREAT SPELLER,Write the first line of a rishta profile for someone who is this good at spelling,Writing
TOO EASY <---> TOO HARD,Make up a title for a trivia game that is this challenging,Writing
SUPER CHILL <---> VERY STRICT,Make up a nickname for a boss who is this strict,Writing
HAIRLESS <---> VERY HAIRY,Make up a nickname for someone who is this hairy,Writing
GOOD SPORT <---> SO MUCH RAGE,Make up a nickname for someone who gets this angry when they lose at a game,Writing
1/2 STAR <---> 5 STARS,Make up a name for a perfume that would get this many stars on OldLadyThings.com,Writing
SCRAM! <---> VERY OSCAR!,Make up a name for a perfume that is this likely to be worn by Oscar the Grouch,Writing
LOST ALL HOPE <---> STILL HOPEFUL,Make up a line of dialogue for a character in a war movie that still has this much hope,Writing
EASY <---> SO AWKWARD!,Make up a line of dialogue for a TV drama that is this embarrassing to say out loud,Writing
SOME EXTRA <---> LEAD CHARACTER,Make up a line of dialogue for a character who is this important to the plot of the movie,Writing
TOTAL BS <---> EXPERT,Write a piece of advice that is this convincing that you know what you’re talking about,Writing
NO SKELETONS <---> ALL SKELETONS,Make up a name for an artist that’s this likely to have skeletons on their album covers,Writing
SMALL CAFES <---> ARENAS,Make up a name for a speaker that would perform at venues this big,Writing
KINDA NOTHIN’ <---> HUGE NEWS,Write a text message about something that seems this important,Writing
NO BIG DEAL <---> SO AWKWARD!,Write a text message that would be this embarrassing if sent to the wrong person,Writing
HUH? <---> OVEREXPLAINS,Make up a title that is this clear in letting you know what the movie is actually about,Writing
1/2 STAR <---> 5 STARS,Make up a title for an animated movie that would recieve this many stars from critics,Writing
TRAGIC ENDING <---> HAPPY ENDING,Make up a title for a movie that is this likely to have a happy ending,Writing
VERY BADLY <---> GREAT RHYMING,Write the first line of a rishta profile that rhymes this well,Writing
TERRIBLE <---> PERFECT,Make up a nickname for a dog that is this well behaved,Writing
NO PARTYING <---> TOO MUCH,Make up a nickname for someone that parties this hard,Writing
HATED <---> LOVED,Make up a nickname for someone that is this well-liked,Writing
HATES ANIMALS <---> LOVES ANIMALS,Make up a nickname for someone that loves animals this much,Writing
NO MERYL <---> ALL MERYL,Make up a title for a movie that is this likely to star Meryl Streep,Writing
HATES CARS <---> LOVES CARS,Write the first line of a rishta profile for someone who likes cars this much,Writing
NO WRESTLER <---> PRO WRESTLER,Write a text message that is this likely to have been written by a pro wrestler,Writing
BAD ADVICE <---> VERY USEFUL,Write a piece of advice that would be this useful to an astronaut,Writing
NO WAY <---> VERY MARVEL,Make up a line of dialogue that is this likely to be in a Marvel movie,Writing
"NO WAY <---> BOND, JAMES BOND",Make up a line of dialogue that is this likely to be in a James Bond movie,Writing
DOES NOT CARE <---> CARES TOO MUCH,Write a piece of advice that sounds like the person giving the advice cares this much,Writing
NOT AFRAID <---> SO AFRAID,Write the first line of a rishta profile for someone who is this afraid of ghosts,Writing
1/2 STAR <---> 5 STARS,Make up a name for an ice cream parlor that gets this many stars in their reviews,Writing
SILENT <---> SO LOUD,Make up a name for a cafe that is this loud,Writing
RESTAURANT <---> FURNITURE,Make up a name for a restaurant that people are this likely to think is a furniture store,Writing
NO ACTION <---> ALL ACTION,Make up a title for a movie that includes this much action,Writing
INNOCENT <---> MURDERER!!,Draw a tattoo that is this likely to be on a murderer,Drawing
"NOT IRONIC <---> ""IRONIC""","Draw a tattoo that is this likely to be ""ironic""",Drawing
NO REGRET <---> DEEP REGRET,Draw a tattoo that a person is this likely to someday regret getting,Drawing
ARRR NO <---> ARRR YES,Draw a tattoo that is this likely to be on a pirate,Drawing
UNIMPRESSIVE <---> VERY IMPRESSIVE,Draw a tattoo that looks this impressive,Drawing
UNLIKELY <---> VERY LIKELY,Draw a tattoo that is this likely to be prominently featured on a pro athlete's arm,Drawing
TOO AWAKE <---> VERY TIRED,Draw the face of a person that is this tired,Drawing
NOT A ROBOT <---> BEEP BOOP,Draw the face of a person that is this likely to secretly be a robot,Drawing
UNHAPPY <---> VERY HAPPY,Draw the face of a person that is this happy,Drawing
BAD <---> VERY WELL-DRAWN,"Draw a face, but make it exactly this well-drawn",Drawing
10 YEARS <---> 100 YEARS,Draw the face of a person that is this old,Drawing
10 PEOPLE <---> 100 PEOPLE,Draw a monster that would take this many people to fight,Drawing
GROSS <---> VERY ADORABLE,Draw a monster that is this adorable,Drawing
NOT SCARY <---> VERY SCARY,Draw a monster that is this scary,Drawing
MONSTER <---> NOT A MONSTER?,Draw a monster that is this likely to trick someone into thinking they're a regular person,Drawing
DIDN'T EAT <---> DEFINITELY ATE,Draw a monster that is this likely to have just secretly eaten a person,Drawing
NOT HIDDEN <---> WHERE IS IT?,Draw a monster that is hiding this well,Drawing
SAFE <---> VERY DANGEROUS,Draw a toy that is this dangerous,Drawing
THE YEAR 1950 <---> THE YEAR 2040,Draw a toy that would be popular during this year,Drawing
NOT LIKELY <---> VERY LIKELY,Draw a toy that is this likely to be pulled from shelves for copyright infringement,Drawing
BARELY LOVABLE <---> VERY LOVABLE,Draw a toy that is this lovable,Drawing
NOT LIKELY <---> VERY VERY LIKELY,Draw a toy that is this likely to be secretly thrown away by a parent,Drawing
10 YEARS <---> 100 YEARS,"Draw a ""toy"" that is most likely owned by someone this old",Drawing
CAN'T TALK <---> TOTALLY TALKS,Draw a pet that is this likely to be able to talk,Drawing
UNCOOL OWNER <---> VERY COOL OWNER,Draw a pet that probably has an owner that is this cool,Drawing
LEGAL <---> VERY ILLEGAL,Draw a pet that would be this illegal to own,Drawing
NOT GREAT <---> SPORTS PRO,Draw a pet that is this great at sports,Drawing
NOT LIKELY <---> PEE EVERYWHERE,Draw a pet that is this likely to pee in your house,Drawing
NOT FLUFFY <---> VERY FLUFFY,Draw a pet that is this fluffy,Drawing
GOOD PET <---> DISAPPOINTING PET,Draw a pet that is this disappointing,Drawing
HAPPY <---> VERY SAD,Draw a clown that is this sad,Drawing
NOT SCARY <---> VERY SCARY,Draw a clown that is this scary,Drawing
NOT LIKELY <---> VERY LIKELY,Draw a clown that is this likely to squirt you with a flower,Drawing
NOT LIKELY <---> OUCH!,Draw a clown that is this likely to get accidentally hurt,Drawing
NOT LAZY <---> VERY LAZY,Draw a clown that is this lazy about putting on clown make-up,Drawing
WEAK <---> VERY MUSCULAR,Draw a clown that is this muscular,Drawing
10 YEARS OLD <---> 100 YEARS OLD,Draw a clown that is this many years old,Drawing
NOT SLEAZY <---> VERY VERY SLEAZY,Draw a bird that looks this sleazy,Drawing
NOT AFRAID <---> TERRIFIED OF FLYING,Draw a bird that is this afraid of flying,Drawing
NOT DELICIOUS <---> VERY VERY DELICIOUS,Draw a bird that looks this delicious,Drawing
NOT LIKELY <---> WILL POOP,Draw a bird that looks this likely to poop on your car,Drawing
NOT STINKY <---> VERY VERY STINKY,Draw a bird that looks this stinky,Drawing
NOT ANNOYED <---> VERY VERY ANNOYED,Draw a bird that looks this annoyed,Drawing
NOT AN AIRLINE <---> DEF AN AIRLINE,Draw a logo for a made-up company that is this likely to be an airline,Drawing
NOT FAST FOOD <---> DEF FAST FOOD,Draw a logo for a made-up company that is this likely to be a fast food chain,Drawing
NOT FUTURISTIC <---> VERY FUTURISTIC,Draw a new logo that is this futuristic-looking,Drawing
NOT ELEGANT <---> VERY ELEGANT,Draw a new logo that is this elegant,Drawing
NOT A BANK <---> DEF A BANK,Draw a logo for a made-up company that is this likely to be a bank,Drawing
NOT ART <---> TOTALLY ART,Draw a logo for a made-up club that is this likely to be a art club,Drawing
NO VAMPIRES <---> VAMPIRE COMPANY!,Draw a logo for a made-up company that is this likely to be secretly run by vampires,Drawing
NEVER EVER WINS <---> WINS A GAME,Draw a logo for a made-up sports team that is this likely to ever win a game,Drawing
MOSTLY OK <---> TOTAL DYSTOPIA,Draw a logo for a made-up government that is probably this dystopian,Drawing
NO SECRET <---> BIG SECRET,Draw the face of a person who is this likely to be hiding a big secret,Drawing
BRAVE <---> SO SCARED,Draw the face of a person who is this frightened,Drawing
JUST FOR FUN <---> SIGNIFICANT,Draw a tattoo that is this likely to hold deep significance for its owner,Drawing
EXPERT <---> FIRST TIME,Draw a tattoo that is this likely to have been drawn by a first-time tattoo artist,Drawing
NORMAL BIRD <---> PICASSO BIRD,Draw a bird that looks this much like Picasso drew it,Drawing
NOT UNDER BED <---> AHH!! UNDER BED!!,Draw a monster that is this likely to actually live under your bed,Drawing
LEGIT <---> SCAM,Draw a logo for a company that is this likely to scam you out of your money,Drawing
PASSIVE <---> VERY AGGRESSIVE,Draw a clown that is this aggressive,Drawing
ECO FRIENDLY <---> ECO ENEMY,Draw a logo for a made-up company that is this likely to be an enemy to Captain Planet,Drawing
