Name,Category
What is your passion?,Ice Breakers & Fun General
What does your room look like?,Ice Breakers & Fun General
"If you could only wear one color for the rest of your life, what would it be and why?",Ice Breakers & Fun General
What is the weirdest gift you have ever received?,Ice Breakers & Fun General
What is your favorite season?,Ice Breakers & Fun General
What's the best dinner you ever had?,Ice Breakers & Fun General
Who has been the biggest inspiration in your life? Why?,Ice Breakers & Fun General
"If you could go back in time, where/when would you go?",Ice Breakers & Fun General
"If you had unlimited money and space, what one thing would you add to your bedroom?",Ice Breakers & Fun General
"What is something you have lost that you have never found, or were tremendously relieved when you did find it?",Ice Breakers & Fun General
What is your favorite breakfast?,Ice Breakers & Fun General
What is set as the background on your computer or phone?,Ice Breakers & Fun General
"If your house were burning down, what would you take and why? (Assuming people/pets are safe)",Ice Breakers & Fun General
Describe your favorite pair of comfortable clothes.,Ice Breakers & Fun General
What is your very favorite part of your day?,Ice Breakers & Fun General
What is your best scar? Tell the story of how you got it.,Ice Breakers & Fun General
What household chore do you hate the most?,Ice Breakers & Fun General
"When you were in elementary school, what was your favorite activity at recess?",Ice Breakers & Fun General
What kind of toothpaste do you use?,Ice Breakers & Fun General
"If you could drive/ride/or fly anything to school/work, what would it be? Why?",Ice Breakers & Fun General
What is your favorite sweet/mithai?,Ice Breakers & Fun General
What scares you the most?,Ice Breakers & Fun General
"If you were a tree, what kind of tree would you be and why?",Ice Breakers & Fun General
Which animal represents you the best and why?,Ice Breakers & Fun General
What is your favorite way to express yourself?,Ice Breakers & Fun General
If you were a piece of furniture what would you be and why?,Ice Breakers & Fun General
"How many siblings do you have? Are you the oldest, a middle child, or youngest?",Ice Breakers & Fun General
What are your favorite pizza toppings?,Ice Breakers & Fun General
What's the worst trouble you got into when you were young?,Ice Breakers & Fun General
What's your favorite ice cream flavor?,Ice Breakers & Fun General
What are your three favorite smells?,Ice Breakers & Fun General
What is your favorite time of day?,Ice Breakers & Fun General
What is your favorite winter activity?,Ice Breakers & Fun General
"If you could take back something hurtful you've once said to someone, what would it be?",Ice Breakers & Fun General
What's the oldest piece of clothing you still own and wear?,Ice Breakers & Fun General
What do you look for in a friend?,Ice Breakers & Fun General
What's the most important thing to you in life?,Ice Breakers & Fun General
What is the best gift anyone's ever given you?,Ice Breakers & Fun General
"If you could instantly become fluent in another language, what would that language be and why?",Ice Breakers & Fun General
One particular day/night that I wanted to last forever was...,Ice Breakers & Fun General
"If you had your own talk show, who would your first three guests be?",Ice Breakers & Fun General
What's the best sound effect you can make? Do it.,Ice Breakers & Fun General
"What is your favorite tradition? (family tradition, etc.)",Ice Breakers & Fun General
Tell about the last time you had to ask for help.,Ice Breakers & Fun General
"Did you or do you currently have a collection of some kind? If so, what is it?",Ice Breakers & Fun General
"If you could mix three animals together, which ones would you choose to make the ultimate animal?",Ice Breakers & Fun General
You have to wear a t-shirt with one word on it for the rest of your life. Which word do you choose?,Ice Breakers & Fun General
"If you were a shoe, what kind would you be and why?",Ice Breakers & Fun General
"If you were to be a natural element, which would you rather be: earth, wind, fire, or water?",Ice Breakers & Fun General
Would you ever loan a significant amount of money to a friend/relative? Why or why not?,Ice Breakers & Fun General
If you could invent a gadget what would it do?,Ice Breakers & Fun General
"If you could live with a TV family, which one would you live with?",Ice Breakers & Fun General
Ideal last meal?,Ice Breakers & Fun General
What's your favorite tea or coffee spot?,Ice Breakers & Fun General
Describe your perfect day.,Ice Breakers & Fun General
What’s the best cereal or breakfast?,Ice Breakers & Fun General
What’s a movie you could watch every day?,Ice Breakers & Fun General
Do you have a favorite memory?,Ice Breakers & Fun General
Which unconventional animal do you wish you could have as a pet?,Ice Breakers & Fun General
Would you rather spend the day at a museum or on a nature trail?,Ice Breakers & Fun General
Would you rather have the ability to fly or the ability to teleport?,Ice Breakers & Fun General
What is your claim to fame?,Ice Breakers & Fun General
What is a skill you’ve always wanted to learn?,Ice Breakers & Fun General
What do you daydream about?,Ice Breakers & Fun General
Do you have a morning routine?,Ice Breakers & Fun General
What are you most excited about for the future?,Ice Breakers & Fun General
What’s on the top of your bucket list?,Ice Breakers & Fun General
What do you think the worst job out there is?,Ice Breakers & Fun General
"If you had the opportunity to know the future, would you want to know?",Ice Breakers & Fun General
Where is the most beautiful place you have ever seen in person?,Ice Breakers & Fun General
What’s your favorite kind of weather?,Ice Breakers & Fun General
Do you like cities or remote places better?,Ice Breakers & Fun General
Do you have a favorite type of exercise?,Ice Breakers & Fun General
Which phone app do you use the most?,Ice Breakers & Fun General
Do you prefer cooking dinner or going out?,Ice Breakers & Fun General
Are you good at solving puzzles?,Ice Breakers & Fun General
What’s the first thing you do in the morning?,Ice Breakers & Fun General
"If you could jump into a pool of anything, what would it be full of?",Ice Breakers & Fun General
What’s the best Wi-Fi name you’ve seen?,Ice Breakers & Fun General
What do you think the worst smell is?,Ice Breakers & Fun General
Why are pizzas usually round?,Ice Breakers & Fun General
Do you talk to yourself?,Ice Breakers & Fun General
Are you still scared of monsters (or Jinns)?,Ice Breakers & Fun General
What’s the funniest moment you’ve ever shared with a stranger?,Ice Breakers & Fun General
What’s the weirdest fact you know?,Ice Breakers & Fun General
Have you ever fallen asleep in class?,Ice Breakers & Fun General
"If you could erase one color from existence, which one would it be?",Ice Breakers & Fun General
What is the weirdest thing in your home?,Ice Breakers & Fun General
What’s the worst name you could give a pet?,Ice Breakers & Fun General
What do you think people will be nostalgic for in 500 years?,Ice Breakers & Fun General
Who would you elect the president of the internet?,Ice Breakers & Fun General
What’s the weirdest gift you’ve given?,Ice Breakers & Fun General
Who is the biggest drama queen in your family?,Ice Breakers & Fun General
What would be the funniest superpower?,Ice Breakers & Fun General
Which celebrity (or historical figure) would you choose as a mentor?,Ice Breakers & Fun General
What dessert would you compare your best friend to?,Ice Breakers & Fun General
Is a burger a sandwich? (Or is a Bun Kebab a burger?),Ice Breakers & Fun General
"If your phone could talk, what’s the most embarrassing thing it would reveal about you?",Ice Breakers & Fun General
"If raindrops weren’t a thing, what would you want to fall from the sky?",Ice Breakers & Fun General
What’s the silliest way you’ve ever gotten an injury?,Ice Breakers & Fun General
What’s the best knock-knock joke you know?,Ice Breakers & Fun General
What completely safe animal are you inexplicably afraid of?,Ice Breakers & Fun General
What food could you not live without?,Ice Breakers & Fun General
What dance move are you secretly awesome at?,Ice Breakers & Fun General
What commercial jingle gets stuck in your head all the time?,Ice Breakers & Fun General
What sport did you try as a child and fail at?,Ice Breakers & Fun General
What interesting skill do you want to learn?,Ice Breakers & Fun General
What's the most random thing in your purse/wallet?,Ice Breakers & Fun General
What invention do you think will be popular in 20 years?,Ice Breakers & Fun General
What blog or website are you embarrassed to admit you love?,Ice Breakers & Fun General
What do you never leave the house without?,Ice Breakers & Fun General
Who is your celebrity look-alike?,Ice Breakers & Fun General
"What's your real favorite book, and what book do you pretend is your favorite?",Ice Breakers & Fun General
What do you pretend to hate but actually love?,Ice Breakers & Fun General
What's a nickname people actually call you?,Ice Breakers & Fun General
"If you could pick your nickname, what would people call you?",Ice Breakers & Fun General
Have you ever lied about an interest/talent to impress someone? What happened next?,Ice Breakers & Fun General
"If you were famous, what would you be famous for?",Ice Breakers & Fun General
"If you had a boat, what would you name it?",Ice Breakers & Fun General
"If you could pick a TV show to be your life, what show would it be?",Ice Breakers & Fun General
"If your best friend picked a tattoo for you to get, what would he/she pick?",Ice Breakers & Fun General
"If you could only eat at one restaurant forever, what restaurant would it be?",Ice Breakers & Fun General
"If you could only wear one type of shoes for the rest of your life, what type would it be?",Ice Breakers & Fun General
"If you could have any celebrity be your best friend, which celebrity would you pick?",Ice Breakers & Fun General
"If you created your own country, what would it be called?",Ice Breakers & Fun General
"If all your clothes had to be one color forever, what color would you pick?",Ice Breakers & Fun General
"If you had to be an animal, which animal would you be?",Ice Breakers & Fun General
"If you had lots of money, what unnecessary thing would you splurge on?",Ice Breakers & Fun General
"If you could switch places with anyone in your family for a day, who would it be?",Ice Breakers & Fun General
"If you wrote a book, what would it be called?",Ice Breakers & Fun General
"If you had to use a fake name, what fake name would you make up?",Ice Breakers & Fun General
"If you could live any historical figure's life, which one would you choose?",Ice Breakers & Fun General
"If you could eliminate one food so that no one would eat it ever again, what would you pick?",Ice Breakers & Fun General
"If you had to wear a hat every day for the rest of your life, what type of hat would it be?",Ice Breakers & Fun General
"If you were a vegetable, what would you be?",Ice Breakers & Fun General
"If you were an Olympic athlete, what sport would you compete in?",Ice Breakers & Fun General
"If you were the president, what would you change about the decorations in the White House?",Ice Breakers & Fun General
"If you were a type of jeans, what type would you be?",Ice Breakers & Fun General
"If you could be one superhero, which superhero would you be?",Ice Breakers & Fun General
"If you could turn the ocean into a liquid other than water, which one would you pick?",Ice Breakers & Fun General
"If you had to be Siamese twins with one person, which person would you pick?",Ice Breakers & Fun General
"If you could pick three famous people to be a part of your entourage, who would you pick?",Ice Breakers & Fun General
"If you could only listen to one song for the rest of your life, which song would you pick?",Ice Breakers & Fun General
Which celebrity would you pick to exchange lives with?,Ice Breakers & Fun General
"If you could pick one job to do forever, what job would it be?",Ice Breakers & Fun General
"If you had to endorse a brand, which brand would it be?",Ice Breakers & Fun General
How much does a polar bear weigh? (Just enough to break the ice!),Ice Breakers & Fun General
What was your last funny video you saw?,Ice Breakers & Fun General
What do you do to get rid of stress?,Ice Breakers & Fun General
What is something you are obsessed with?,Ice Breakers & Fun General
What three words best describe you?,Ice Breakers & Fun General
What would be your perfect weekend?,Ice Breakers & Fun General
What’s your favorite number? Why?,Ice Breakers & Fun General
What are you going to do this weekend?,Ice Breakers & Fun General
What’s the most useful thing you own?,Ice Breakers & Fun General
What’s your favorite way to waste time?,Ice Breakers & Fun General
What do you think of tattoos? Do you have any?,Ice Breakers & Fun General
Do you have any pets? What are their names?,Ice Breakers & Fun General
Where did you go last weekend?,Ice Breakers & Fun General
What is something popular now that annoys you?,Ice Breakers & Fun General
What did you do on your last vacation?,Ice Breakers & Fun General
When was the last time you worked incredibly hard?,Ice Breakers & Fun General
"Are you very active, or do you prefer to just relax in your free time?",Ice Breakers & Fun General
What do you do when you hang out with your friends?,Ice Breakers & Fun General
Who is your oldest friend? Where did you meet them?,Ice Breakers & Fun General
What’s the best / worst thing about your work/school?,Ice Breakers & Fun General
"If you had intro music, what song would it be? Why?",Ice Breakers & Fun General
What were you really into when you were a kid?,Ice Breakers & Fun General
"If you could have any animal as a pet, what animal would you choose?",Ice Breakers & Fun General
Have you ever saved an animal’s life? How about a person’s life?,Ice Breakers & Fun General
"If you opened a business, what kind of business would it be?",Ice Breakers & Fun General
Who is your favorite entertainer?,Ice Breakers & Fun General
Are you a very organized person?,Ice Breakers & Fun General
Have you ever given a presentation in front of a large group of people? How did it go?,Ice Breakers & Fun General
What is the strangest dream you have ever had?,Ice Breakers & Fun General
What is a controversial opinion you have?,Ice Breakers & Fun General
Who in your life brings you the most joy?,Ice Breakers & Fun General
Who had the biggest impact on the person you have become?,Ice Breakers & Fun General
What is the most annoying habit someone can have?,Ice Breakers & Fun General
Where is the most beautiful place you have been?,Ice Breakers & Fun General
Where do you spend most of your free time/day?,Ice Breakers & Fun General
Who was your best friend in elementary school?,Ice Breakers & Fun General
How often do you stay up past 3 a.m.?,Ice Breakers & Fun General
What’s your favorite season? Why?,Ice Breakers & Fun General
"Which is more important, having a great car or a great house? Why?",Ice Breakers & Fun General
What animal or insect do you wish humans could eradicate?,Ice Breakers & Fun General
Where is the most beautiful place near where you live?,Ice Breakers & Fun General
What do you bring with you everywhere you go?,Ice Breakers & Fun General
How much time do you spend on the internet? What do you usually do?,Ice Breakers & Fun General
What is the most disgusting habit some people have?,Ice Breakers & Fun General
Where and when was the most amazing sunset you have ever seen?,Ice Breakers & Fun General
Which recent news story is the most interesting?,Ice Breakers & Fun General
Where is the worst place you have been stuck for a long time?,Ice Breakers & Fun General
"If you had to change your name, what would your new name be?",Ice Breakers & Fun General
What is something that really annoys you but doesn’t bother most people?,Ice Breakers & Fun General
What word or saying from the past do you think should come back?,Ice Breakers & Fun General
"How should success be measured? And by that measurement, who is the most successful person you know?",Ice Breakers & Fun General
What is your guilty pleasure?,Ice Breakers & Fun General
Was there ever an event in your life that defied explanation?,Ice Breakers & Fun General
"If you could learn the answer to one question about your future, what would the question be?",Ice Breakers & Fun General
Has anyone ever saved your life?,Ice Breakers & Fun General
What benefit do you bring to the group when you hang out with friends?,Ice Breakers & Fun General
How often do you curse? And what’s your go-to string of curse words?,Ice Breakers & Fun General
What trends did you follow when you were younger?,Ice Breakers & Fun General
What do you fear is hiding in the dark?,Ice Breakers & Fun General
What was the best period of your life so far?,Ice Breakers & Fun General
What do you do to improve your mood when you are in a bad mood?,Ice Breakers & Fun General
What is the silliest fear you have?,Ice Breakers & Fun General
What are some things you want to accomplish before you die?,Ice Breakers & Fun General
What is the best room in your house? Why?,Ice Breakers & Fun General
Who is someone popular now that you really like? Why do you like them so much?,Ice Breakers & Fun General
Where is the best place to take a date?,Ice Breakers & Fun General
What smell brings back great memories?,Ice Breakers & Fun General
What’s the best pet name you can come up with for a specific type of pet?,Ice Breakers & Fun General
How often do you help others? Who do you help?,Ice Breakers & Fun General
What are you best at?,Ice Breakers & Fun General
What makes you nervous?,Ice Breakers & Fun General
Who is the funniest person you’ve met?,Ice Breakers & Fun General
What weird or useless talent do you have?,Ice Breakers & Fun General
What are some strange beliefs that some people have?,Ice Breakers & Fun General
Who would be the worst person to be stuck in an elevator with?,Ice Breakers & Fun General
What was the best birthday wish or gift you’ve ever received?,Ice Breakers & Fun General
What’s the best sitcom past or present?,Ice Breakers & Fun General
What’s the best show currently on TV?,Ice Breakers & Fun General
What will be the future of TV shows?,Ice Breakers & Fun General
How often do you binge watch shows?,Ice Breakers & Fun General
What cartoons did you watch as a child?,Ice Breakers & Fun General
What’s the funniest TV series you have seen?,Ice Breakers & Fun General
Which TV show do you want your life to be like?,Ice Breakers & Fun General
How have TV shows changed over the years?,Ice Breakers & Fun General
"If you could bring back one TV show that was canceled, which one would you bring back?",Ice Breakers & Fun General
What do you think about game shows? Do you have a favorite one?,Ice Breakers & Fun General
What’s the most underrated or overrated TV show?,Ice Breakers & Fun General
What do you think about reality TV? Why do you think it’s so popular?,Ice Breakers & Fun General
What is the most overrated movie?,Ice Breakers & Fun General
What’s your favorite genre of movie?,Ice Breakers & Fun General
Which do you prefer? Books or movies?,Ice Breakers & Fun General
What movie scene choked you up the most?,Ice Breakers & Fun General
Do you like documentaries? Why / why not?,Ice Breakers & Fun General
What’s the worst movie you have seen recently?,Ice Breakers & Fun General
What’s the strangest movie you have ever seen?,Ice Breakers & Fun General
Do you like horror movies? Why or why not?,Ice Breakers & Fun General
When was the last time you went to a movie theater?,Ice Breakers & Fun General
What was the last movie you watched? How was it?,Ice Breakers & Fun General
Do movies have the same power as books to change the world?,Ice Breakers & Fun General
Do you prefer to watch movies in the theater or in the comfort of your own home?,Ice Breakers & Fun General
What was the last book you read?,Ice Breakers & Fun General
What was your favorite book as a child?,Ice Breakers & Fun General
Do you prefer physical books or ebooks?,Ice Breakers & Fun General
What is the longest book you’ve read?,Ice Breakers & Fun General
What book genres do you like to read?,Ice Breakers & Fun General
How fast do you read?,Ice Breakers & Fun General
How often do you go to the library?,Ice Breakers & Fun General
What book has influenced you the most?,Ice Breakers & Fun General
Do you prefer fiction or nonfiction books?,Ice Breakers & Fun General
What book has changed one of your long-held opinions?,Ice Breakers & Fun General
What book has had the biggest effect on the modern world?,Ice Breakers & Fun General
What was the worst book you had to read for school?,Ice Breakers & Fun General
Do you think people read more or fewer books now than 50 years ago?,Ice Breakers & Fun General
"Now that indie publishing has become easier, have books gotten better or worse?",Ice Breakers & Fun General
What was the last song you listened to?,Ice Breakers & Fun General
What is your favorite movie soundtrack?,Ice Breakers & Fun General
Do you like classical music?,Ice Breakers & Fun General
What song always puts you in a good mood?,Ice Breakers & Fun General
What’s the best way to discover new music?,Ice Breakers & Fun General
How has technology changed the music industry?,Ice Breakers & Fun General
Are there any songs that always bring a tear to your eye?,Ice Breakers & Fun General
What bands or types of music do you listen to when you exercise?,Ice Breakers & Fun General
"Which do you prefer, popular music or relatively unknown music?",Ice Breakers & Fun General
Do you like going to concerts? Why or why not?,Ice Breakers & Fun General
Who was the first band or musician you were really into? Do you still like them?,Ice Breakers & Fun General
"Which musical format did you grow up with? (CDs, tapes, etc.)",Ice Breakers & Fun General
What are the three best apps on your phone?,Ice Breakers & Fun General
What is the most useful app on your phone?,Ice Breakers & Fun General
What do app makers do that really annoys you?,Ice Breakers & Fun General
How many apps do you have on your phone?,Ice Breakers & Fun General
What’s the most frustrating app you have tried?,Ice Breakers & Fun General
What’s the most addictive game on your phone you have played?,Ice Breakers & Fun General
Which app seemed like magic the first time you used it?,Ice Breakers & Fun General
What is the strangest app you have heard of or tried?,Ice Breakers & Fun General
What’re the best and worst things about the marketplace where you get your apps?,Ice Breakers & Fun General
Which app has helped society the most? Which one has hurt society the most?,Ice Breakers & Fun General
An app mysteriously appears on your phone that does something amazing. What does it do?,Ice Breakers & Fun General
How often do you check your phone?,Ice Breakers & Fun General
Do you text more or call more? Why?,Ice Breakers & Fun General
What will phones be like in 10 years?,Ice Breakers & Fun General
What do you wish your phone could do?,Ice Breakers & Fun General
Do you always have to have the latest phone?,Ice Breakers & Fun General
What is the most annoying thing about your phone?,Ice Breakers & Fun General
How do you feel if you accidentally leave your phone at home?,Ice Breakers & Fun General
What kind of case do you have for your phone? Why did you choose it?,Ice Breakers & Fun General
What was your first smartphone?,Ice Breakers & Fun General
Do you experience phantom vibration?,Ice Breakers & Fun General
What sports do you like to watch?,Ice Breakers & Fun General
Who are some of your favorite athletes?,Ice Breakers & Fun General
Which sports do you like to play?,Ice Breakers & Fun General
What is the hardest sport to excel at?,Ice Breakers & Fun General
Who are the 3 greatest athletes of all time?,Ice Breakers & Fun General
How much time do you spend watching sports in a week?,Ice Breakers & Fun General
Do athletes deserve the high salaries they receive?,Ice Breakers & Fun General
What defines a sport? Is fishing a sport?,Ice Breakers & Fun General
Do you play in any fantasy sports leagues?,Ice Breakers & Fun General
Why do you think sports are common across almost all cultures?,Ice Breakers & Fun General
Do you play sports video games?,Ice Breakers & Fun General
Which sport is the most exciting to watch?,Ice Breakers & Fun General
What restaurant do you eat at most?,Ice Breakers & Fun General
What’s the worst fast food restaurant?,Ice Breakers & Fun General
What is the best restaurant in your area?,Ice Breakers & Fun General
What is the fanciest restaurant you have eaten at?,Ice Breakers & Fun General
What kind of interior do you like a restaurant to have?,Ice Breakers & Fun General
What is the worst restaurant you have ever eaten at?,Ice Breakers & Fun General
"If you opened a restaurant, what kind of food would you serve?",Ice Breakers & Fun General
What is the strangest themed restaurant you have heard of?,Ice Breakers & Fun General
Would you eat at a restaurant that was really dirty if the food was amazing?,Ice Breakers & Fun General
What is the most disgusting thing you have heard happened at a restaurant?,Ice Breakers & Fun General
What was your favorite restaurant when you were a child?,Ice Breakers & Fun General
Where would you like to travel next?,Ice Breakers & Fun General
What is the longest plane trip you have taken?,Ice Breakers & Fun General
"What’s the best way to travel? (Plane, car, train, etc.)",Ice Breakers & Fun General
Where is the most relaxing place you have been?,Ice Breakers & Fun General
Do you prefer traveling alone or with a group?,Ice Breakers & Fun General
What do you think of tour group packages?,Ice Breakers & Fun General
Do you prefer to go off the beaten path when you travel?,Ice Breakers & Fun General
What was the most overhyped place you’ve traveled to?,Ice Breakers & Fun General
Have you traveled to any different countries? Which ones?,Ice Breakers & Fun General
Where is the most awe-inspiring place you have been?,Ice Breakers & Fun General
What’s the best thing about traveling? How about the worst thing?,Ice Breakers & Fun General
What is the worst hotel you have stayed at?,Ice Breakers & Fun General
How do you think traveling to different countries changes a person?,Ice Breakers & Fun General
Talk about some of the interesting people you have met while traveling.,Ice Breakers & Fun General
What do you think of staycations?,Ice Breakers & Fun General
Where do you get your recommendations for what to do when you travel?,Ice Breakers & Fun General
What is your favorite piece of technology that you own?,Ice Breakers & Fun General
What piece of technology is really frustrating to use?,Ice Breakers & Fun General
What was the best invention of the last 50 years?,Ice Breakers & Fun General
Does technology simplify life or make it more complicated?,Ice Breakers & Fun General
Will technology save the human race or destroy it?,Ice Breakers & Fun General
Which emerging technology are you most excited about?,Ice Breakers & Fun General
What sci-fi movie or book would you like the future to be like?,Ice Breakers & Fun General
What do you think the next big technological advance will be?,Ice Breakers & Fun General
What technology from a science fiction movie would you most like to have?,Ice Breakers & Fun General
What piece of technology would look like magic to people in medieval Europe?,Ice Breakers & Fun General
Can you think of any technology that has only made the world worse?,Ice Breakers & Fun General
What is your favorite shirt?,Ice Breakers & Fun General
Does fashion help society in any way?,Ice Breakers & Fun General
What old trend is coming back these days?,Ice Breakers & Fun General
What is a fashion trend you are really glad went away?,Ice Breakers & Fun General
What is the most comfortable piece of clothing you own?,Ice Breakers & Fun General
What is the most embarrassing piece of clothing you own?,Ice Breakers & Fun General
How do clothes change how people view a person?,Ice Breakers & Fun General
Do you care about fashion?,Ice Breakers & Fun General
"If you didn’t care at all what people thought of you, what clothes would you wear?",Ice Breakers & Fun General
What is the best pair of shoes you have ever owned?,Ice Breakers & Fun General
Who has the biggest impact on fashion trends?,Ice Breakers & Fun General
What personal goals do you have?,Ice Breakers & Fun General
What are your goals for the next two years?,Ice Breakers & Fun General
How have your goals changed over your life?,Ice Breakers & Fun General
How much do you plan for the future?,Ice Breakers & Fun General
How do you plan to make the world a better place?,Ice Breakers & Fun General
What are some goals you have already achieved?,Ice Breakers & Fun General
What do you hope to achieve in your professional life?,Ice Breakers & Fun General
Have your parents influenced what goals you have?,Ice Breakers & Fun General
Do you usually achieve the goals you set?,Ice Breakers & Fun General
What is the best way to stay motivated and complete goals?,Ice Breakers & Fun General
What are some goals you have failed to accomplish?,Ice Breakers & Fun General
"What is the craziest, most outrageous thing you want to achieve?",Ice Breakers & Fun General
When do you want to retire? What do you want to do?,Ice Breakers & Fun General
Do you prefer summer or winter activities?,Ice Breakers & Fun General
What do you like to do in the spring?,Ice Breakers & Fun General
Did your family take seasonal vacations?,Ice Breakers & Fun General
"Which do you prefer, fall or spring?",Ice Breakers & Fun General
Which season are you most active in?,Ice Breakers & Fun General
What’s the most refreshing thing on a hot summer day?,Ice Breakers & Fun General
What’s the best thing to do on a cold winter day?,Ice Breakers & Fun General
Where is the nicest place you have been to in fall?,Ice Breakers & Fun General
What is your favorite thing to eat or drink in winter?,Ice Breakers & Fun General
Is it better to live where there are four seasons or where one season takes up most of the year?,Ice Breakers & Fun General
What is the biggest holiday for your family?,Ice Breakers & Fun General
What is your favorite holiday?,Ice Breakers & Fun General
What holidays have been over-commercialized?,Ice Breakers & Fun General
Do you wish there were more or fewer holidays?,Ice Breakers & Fun General
What kinds of food do you usually eat on your favorite holiday?,Ice Breakers & Fun General
"If you had to get rid of a holiday, which would you get rid of?",Ice Breakers & Fun General
Does having a day off for a holiday increase or decrease productivity at work?,Ice Breakers & Fun General
"If you could make a holiday, what would it be like?",Ice Breakers & Fun General
What do you think of online education?,Ice Breakers & Fun General
What do you think of standardized tests?,Ice Breakers & Fun General
Are bigger or smaller schools better?,Ice Breakers & Fun General
Is teaching a skill that can be taught?,Ice Breakers & Fun General
What will the future of education be?,Ice Breakers & Fun General
What do you think of homeschooling?,Ice Breakers & Fun General
How can governments make education more efficient?,Ice Breakers & Fun General
How has the education you received changed your life?,Ice Breakers & Fun General
How can technology improve education?,Ice Breakers & Fun General
What or who has taught you most of the information you use regularly?,Ice Breakers & Fun General
What are some good and bad things about the education system in your country?,Ice Breakers & Fun General
What is your favorite cuisine or type of food?,Ice Breakers & Fun General
What foods do you absolutely hate?,Ice Breakers & Fun General
What do you think of buffets?,Ice Breakers & Fun General
When was the last time you had a food fight?,Ice Breakers & Fun General
What food looks disgusting but tastes delicious?,Ice Breakers & Fun General
What do you get every time you go grocery shopping?,Ice Breakers & Fun General
"If your life was a meal, what would kind of meal would it be?",Ice Breakers & Fun General
What would you want your last meal to be?,Ice Breakers & Fun General
What food do you know you shouldn’t eat but can’t stop yourself?,Ice Breakers & Fun General
Do you like spicy food?,Ice Breakers & Fun General
"When people make mistakes about food, do you feel the need to correct them?",Ice Breakers & Fun General
"If your mind were an island, what would it look like?",Ice Breakers & Fun General
What flavor of ice cream do you wish existed?,Ice Breakers & Fun General
"If you had a personal mascot, what would your mascot be?",Ice Breakers & Fun General
"If you were a king/queen, what would your throne look like?",Ice Breakers & Fun General
Time freezes for everyone but you for one day. What do you do?,Ice Breakers & Fun General
You have to relive one day of your life forever. Which day do you choose?,Ice Breakers & Fun General
What does your own personal hell look like?,Ice Breakers & Fun General
"You find a remote that can rewind, fast forward, stop, and start time. What do you do?",Ice Breakers & Fun General
"If you could call up anyone in the world and have a one-hour conversation, who would you call?",Ice Breakers & Fun General
"The world has become infested with rabid dogs with the intelligence of a 5-year-old, where do you hole up?",Ice Breakers & Fun General
A portal to another world opens in front of you. What do you do?,Ice Breakers & Fun General
