Description,Category
the worst possible thing,Standard Prompts
a yoga ball with a face,Standard Prompts
three hunky uncles,Standard Prompts
all the centipede's sneakers,Standard Prompts
frog jog,Standard Prompts
cant we enjoy one meal together,Standard Prompts
its unlikely this is soup,Standard Prompts
a very....sticky.....situation,Standard Prompts
a sheep made this,Standard Prompts
i'm spiritual,Standard Prompts
donut filled with lobster,Standard Prompts
luigi is stuck in a pipe,Standard Prompts
hide n steak,Standard Prompts
ice cream of the future,Standard Prompts
werking at the car warsh,Standard Prompts
bart's bees,Standard Prompts
my lawyer is a werewolf,Standard Prompts
its poodle o'clock,Standard Prompts
my shirt melted off,Standard Prompts
french toast...in france!,Standard Prompts
cowboy eats a popsicle on hot day,Standard Prompts
hairball is alive now,Standard Prompts
a bald head with a lego on it,Standard Prompts
trees that are secretly in love,Standard Prompts
grape grape raisin,Standard Prompts
meerkat surprise party,Standard Prompts
it is leg day,Standard Prompts
2 hot 2 eat,Standard Prompts
i wanna fist-fight big ben,Standard Prompts
just remembered i can fly,Standard Prompts
game show but everyone's super sad,Standard Prompts
"taxi, drive into the ocean",Standard Prompts
the curvy machine,Standard Prompts
that ballerrina is getting away!!,Standard Prompts
"uh, your web cam is on",Standard Prompts
a bull charging a mannequin,Standard Prompts
so bored i'm melting,Standard Prompts
the sun with big fake eyelashes,Standard Prompts
bubberfly,Standard Prompts
jack frost nipping at your lobes,Standard Prompts
collage football,Standard Prompts
elbow deep in the jellyfish barrel,Standard Prompts
mascot ego death,Standard Prompts
really nice hatbox!!,Standard Prompts
stop stretching please. there is a war.,Standard Prompts
clippy's a cowboy now,Standard Prompts
stop drawing butts,Standard Prompts
puff pastry train,Standard Prompts
esteemed opera duck,Standard Prompts
haunted kneecaps,Standard Prompts
alligator doesn't know anyone at the party,Standard Prompts
seduced by puzzles,Standard Prompts
the olympics is a horror movie,Standard Prompts
watch the golfer lose,Standard Prompts
stopping the wifi signal before it reaches me,Standard Prompts
using a pool noodle as a pool cue,Standard Prompts
it has begun,Standard Prompts
this lives in your car engine,Standard Prompts
remember pet rocks?,Standard Prompts
i said no offense ! legit calm down,Standard Prompts
"no instruments, just bread",Standard Prompts
comfy cozy coffin,Standard Prompts
flamingo = camera tripod,Standard Prompts
cats the musical starring birds,Standard Prompts
All that matters is we're having fun,Standard Prompts
I ran out of time,Standard Prompts
restaurant staffed by tall angels,Standard Prompts
kilt-o-mania,Standard Prompts
muscular windbreaker,Standard Prompts
jellyfish jamboree,Standard Prompts
basketball infestation,Standard Prompts
get down from the chandelier if ur human,Standard Prompts
villain of the crosswalk,Standard Prompts
salad daddy,Standard Prompts
real thick soda pop,Standard Prompts
microwave coven,Standard Prompts
loose square,Standard Prompts
chocolate-covered chocolate,Standard Prompts
practicing saxophone without a license,Standard Prompts
my spores! my precious spores!,Standard Prompts
no one is sad at the olive bar,Standard Prompts
grandma loves rectangles,Standard Prompts
"we all have skin! no one doesn't, except him",Standard Prompts
"checkmate, seabiscuit",Standard Prompts
simon and garfunkel and their friend steve,Standard Prompts
"nails for teeth, teeth for nails",Standard Prompts
a box of hot little marbles,Standard Prompts
snakes on steaks,Standard Prompts
chaos!,Standard Prompts
positive experience w birds,Standard Prompts
sneezing into a velvet tissue,Standard Prompts
livin' la vida locomotive,Standard Prompts
high-fructose corn scissors,Standard Prompts
tim machine,Standard Prompts
the statue david but now he's named carl,Standard Prompts
can bird be friend??,Standard Prompts
"please, my prescription mustache is tired",Standard Prompts
lost in the shrimp,Standard Prompts
scan my champion hands,Standard Prompts
crabucopia,Standard Prompts
my enchanted toilet,Standard Prompts
radioactive chili,Standard Prompts
death by frisbee,Standard Prompts
the caveman roller rink,Standard Prompts
nun slingshot,Standard Prompts
quicksand couch,Standard Prompts
rocket! slippers!,Standard Prompts
booby trapped refrigerator,Standard Prompts
overly polite tornado,Standard Prompts
self scrambling eggs,Standard Prompts
hermit crab getting evicted,Standard Prompts
help! masseur! i'm knotty,Standard Prompts
i now pronounce you mortar and pestle,Standard Prompts
wooly mammoth creeping up on u,Standard Prompts
okay hair day,Standard Prompts
the cutest mugshot ever,Standard Prompts
baby otter burp,Standard Prompts
denim mummy meets venom mommy,Standard Prompts
bald eagle with a bad toupee,Standard Prompts
top hat lost at sea,Standard Prompts
briefcase full of bouncy balls,Standard Prompts
aliens roasting weenies round a campfire,Standard Prompts
eggplant gliding across a frozen lake,Standard Prompts
four way fist bump,Standard Prompts
all ears,Standard Prompts
blessing in disguise,Standard Prompts
gasp!,Standard Prompts
an uncontrollable urge to get funky,Standard Prompts
a new religion i just came up with,Standard Prompts
garbageman group project,Standard Prompts
two bugs on a doug,Standard Prompts
i'm going to disneylamb,Standard Prompts
i fired the beatles,Standard Prompts
those are nana's supplements,Standard Prompts
seems kinda vague,Standard Prompts
pizza store infidelity,Standard Prompts
hand-holding? no,Standard Prompts
just poppin' by,Standard Prompts
martin scorcheesy,Standard Prompts
"scotland, with hands",Standard Prompts
proud father to beautiful hole,Standard Prompts
cool guy factory,Standard Prompts
tea party,Standard Prompts
jim carrey's the mask on dvd,Standard Prompts
monster truck's got kissin' lips,Standard Prompts
entire wedding party is pregnant,Standard Prompts
a high voltage doorknob,Standard Prompts
tidal wave of mouthwash,Standard Prompts
faulty magic wand,Standard Prompts
count dracula clocking in for work,Standard Prompts
fine dining bear,Standard Prompts
yuckin' it up with my best bros,Standard Prompts
that's enough shampoo,Standard Prompts
milking an almond,Standard Prompts
teaching a man to fish is not going well,Standard Prompts
the town menace,Standard Prompts
walmart greeter hates u,Standard Prompts
broke monopoly man,Standard Prompts
ladyboog on a trapeze,Standard Prompts
watching shrek at the drive in,Standard Prompts
tumbleweed rolling down a slide,Standard Prompts
dentist checking ur teeth with tongs,Standard Prompts
best buds holding hands from their bunk beds,Standard Prompts
"stop hitting yourself, stop hitting yourself",Standard Prompts
crime coupon,Standard Prompts
swing dance cats,Standard Prompts
gentle teens,Standard Prompts
the rectangle hates the square,Standard Prompts
actually the baby came out like that,Standard Prompts
seductive animatronics,Standard Prompts
sea urchin disguised as hair brush,Standard Prompts
airport x-ray accident,Standard Prompts
the worst fairy,Standard Prompts
ouch! sharp puppet,Standard Prompts
welcome to the wet zoo,Standard Prompts
we all scream for the wizard frog,Standard Prompts
algebra: the musical,Standard Prompts
how to be short,Standard Prompts
she broke a whole raincoat,Standard Prompts
scrambled wigs,Standard Prompts
a melon just got the high score,Standard Prompts
two worms trying to hug,Standard Prompts
troutback steakbus,Standard Prompts
mother mother frogbucket,Standard Prompts
bad depiction of george washington on a boat,Standard Prompts
teenie turtz crawling thru melted ice cream,Standard Prompts
Tragic Magic!?,Standard Prompts
flinging bbq plate like a frisbee.aunt is mad,Standard Prompts
personal injuring lawyer,Standard Prompts
shh the cougars creep ever nearer,Standard Prompts
all-you-can-fight buffet,Standard Prompts
mouse + knife = mouseknife,Standard Prompts
an artistic masterpiece,Standard Prompts
this is the wrong answer,Standard Prompts
so help me i will turn this llama around,Standard Prompts
ok who ordered the torture??,Standard Prompts
"mama, behold the biryani",Standard Prompts
A clown swinging a snake whip,Standard Prompts
A chipmunk flying a tiny WWI fighter jet,Standard Prompts
mozz stick waterskiing on marinara Lake,Standard Prompts
Jenga with sausages,Standard Prompts
bacteria slow dance,Standard Prompts
His Highness Pope Rock-n-Roll the second,Standard Prompts
"please, m'lord, cream for to calm my skin",Standard Prompts
Going bort bort in my short shorts,Standard Prompts
a serious chumbesus infection,Standard Prompts
Fist casserole!,Standard Prompts
Prosciutto jeans,Standard Prompts
A pony with the gift of prophecy,Standard Prompts
The forest of gramps,Standard Prompts
Wasp diaper,Standard Prompts
Church approved spanx for praying,Standard Prompts
Caesar paying with change,Standard Prompts
the elaborate toilet procedure,Standard Prompts
Cup of dictator juice,Standard Prompts
Walrus Joker,Standard Prompts
saint garbanzo,Standard Prompts
"Happy Eid, Uncle Majboos",Standard Prompts
reincarnation,Standard Prompts
can't figure out whether i am a genius,Standard Prompts
world's biggest mayor,Standard Prompts
classic cartoon tunnel,Standard Prompts
log off!!!!!!,Standard Prompts
a play about history,Standard Prompts
chef melancholy,Standard Prompts
spiycy tap wateyr,Standard Prompts
gotta put that on the fridge,Standard Prompts
winter dan dance man,Standard Prompts
A massive moose ventriloquist,Standard Prompts
the poisoned guitar strikes again,Standard Prompts
burned my hip on the lasagna,Standard Prompts
another face under her bangs,Standard Prompts
dog dances while the vultures circle above,Standard Prompts
a swarm of MEEEE,Standard Prompts
Mother's germs,Standard Prompts
yes! hahahah! yes!,Standard Prompts
iguana enjoying the tunes,Standard Prompts
snacking out my beef sack,Standard Prompts
we must defeat the baby,Standard Prompts
Colonel Pranks!,Standard Prompts
The Annual Birthday Fight!!!,Standard Prompts
inappropriate funeral behavior,Standard Prompts
The Nanny but an orc,Standard Prompts
coin operated IV tube,Standard Prompts
the librarian who refuses to share,Standard Prompts
tiny little quail shoved in the corner,Standard Prompts
hummus with a secret passage,Standard Prompts
has everyone seen my new beret???,Standard Prompts
"and here's your 1,000,000 calamari",Standard Prompts
"don't kick my lumps, cheryl!!",Standard Prompts
"listen, Gnome, we're eating fish tonight.",Standard Prompts
raccoon wearing an enormous pizza as a cape,Standard Prompts
a goblin wearing a diaper as a hat,Standard Prompts
A map of Europe where France and Germany are high-fiving,Standard Prompts
a mouth full of a billion jagged teeth,Standard Prompts
peel an orange oops it's cereal inside,Standard Prompts
slappy slappy hour with brother,Standard Prompts
bowling ball but its scared of pins,Standard Prompts
"this is ""problem liquid""",Standard Prompts
chunky gust of wind,Standard Prompts
old-fashioned dog,Standard Prompts
stop doing high kicks!!!,Standard Prompts
"oh no, the blobfish is loose",Standard Prompts
ew! he invented the lightbulb,Standard Prompts
pantsed during surgery,Standard Prompts
butternut squawk,Standard Prompts
itty bitty smooch puppet,Standard Prompts
we seek the counsel of the yogurt king,Standard Prompts
pizzzzza (sleepy pizza),Standard Prompts
a ballpoint pen rolling down a hill,Standard Prompts
a litter box shaped like the titanic,Standard Prompts
Lady Liberty reaching up into a sky butt,Standard Prompts
your honor i plead hilarious,Standard Prompts
3 square meals and a bed to die in,Standard Prompts
"doc, will i ever chomp chomp again?",Standard Prompts
"welcome to the bed, new bugs!",Standard Prompts
"bad news, we in a omelet",Standard Prompts
"on your mark, get set, vogue",Standard Prompts
knee toes,Standard Prompts
sizzling hot bald spot,Standard Prompts
charcuterie surfboard,Standard Prompts
skeleton! party! yay yay yay,Standard Prompts
a retired mime,Standard Prompts
my happiest internal organs,Standard Prompts
mouse dressed as rat,Standard Prompts
reusable bag in orbit,Standard Prompts
jellybean hall of fame,Standard Prompts
the killer is hiding in plain sight,Standard Prompts
"heeeeey neighbor, hehehe",Standard Prompts
shannon! stop accessorizing!,Standard Prompts
ladling up the ocean,Standard Prompts
another day! woohoo!!!!,Standard Prompts
"detective frog, homicide division",Standard Prompts
strict no todd policy,Standard Prompts
succumbing to shoulder pads,Standard Prompts
so drowsy at brunch,Standard Prompts
patchwork quilt billowing in the wind,Standard Prompts
littlest guy writing in the biggest journal,Standard Prompts
hall of mirrors,Standard Prompts
the scorpion chorus,Standard Prompts
Dunking a head,Standard Prompts
galactic baboon witch,Standard Prompts
a long undulating mushroom,Standard Prompts
Termite conference,Standard Prompts
drumkit falling off a truck,Standard Prompts
my skeleton trying to get out,Standard Prompts
the bad news clown,Standard Prompts
bowl of nice slugs,Standard Prompts
assorted Monopoly items,Standard Prompts
cloud rain on land dirt,Standard Prompts
croak monsieur,Standard Prompts
its whimsical leg day,Standard Prompts
i'm Mr. Karate around here,Standard Prompts
"two lizards down, one to go",Standard Prompts
keep clam and carry on,Standard Prompts
ow! my fingie,Standard Prompts
extraneous cake babies,Standard Prompts
just turtle stuff,Standard Prompts
short stack of mancakes,Standard Prompts
salad bar burned down,Standard Prompts
baby lamb with a human face,Standard Prompts
porcupine water bed,Standard Prompts
little burger kisses,Standard Prompts
cookie can grow thumbs,Standard Prompts
the couch ate the cat,Standard Prompts
teeth that have teeth,Standard Prompts
creamed scorn,Standard Prompts
leonardo di cappuccino,Standard Prompts
shhhhh secret sandwich,Standard Prompts
duck tries stand up comedy,Standard Prompts
Hobbit DMV,Standard Prompts
blueberry toot,Standard Prompts
im im im gonna hurl,Standard Prompts
trade you my chips for your leg,Standard Prompts
a lil guy tearing off his shirt in a rage,Standard Prompts
Striking a warhammer. hamsters come out,Standard Prompts
tuna sandwich bullying the pickle.,Standard Prompts
everyone stares at my popsicle stick legs,Standard Prompts
hot dog archery,Standard Prompts
low hangin and swangin earlobes,Standard Prompts
knight sleepwalking,Standard Prompts
gated waterfall,Standard Prompts
bionic teddy bear shootin laser beams,Standard Prompts
rock paper barber shears,Standard Prompts
the poison ivy club,Standard Prompts
ma'am your baby's a scorpio,Standard Prompts
just taking my daily stroll through the bakery,Standard Prompts
"portrait eyes following you, not scary tho",Standard Prompts
the clown has hit rock bottom,Standard Prompts
cheerleaders got no more cheer :/,Standard Prompts
cant stop crocheting,Standard Prompts
a fish and his missus,Standard Prompts
playing baseball with a bloomin onion,Standard Prompts
third meeting is when you meet my shadow,Standard Prompts
tired of drawing,Standard Prompts
there is no eraser,Standard Prompts
all the cool kids are farting,Standard Prompts
"yes, i have six butts",Standard Prompts
the toot heard round the world,Standard Prompts
mumblebee,Standard Prompts
a traditional carnivore. very proper.,Standard Prompts
my very spicy diamond,Standard Prompts
makeover montage!,Standard Prompts
ohhh this cabin is haunted-haunted,Standard Prompts
welcome to the jeff convention,Standard Prompts
we bought a kazoo,Standard Prompts
this is a funny animation,Standard Prompts
hot philly cheesesnake,Standard Prompts
dracula..... in space,Standard Prompts
cello in the dark,Standard Prompts
four pieces of burnt toast exchanging looks,Standard Prompts
musician knucklebucket plays the hits,Standard Prompts
warm caramelized funyuns,Standard Prompts
tree salad with branch dressing,Standard Prompts
baby dream baby truck,Standard Prompts
emergency!!! at the rock garden,Standard Prompts
concert but the band is soap,Standard Prompts
i was mrs. doubtfired by my dad,Standard Prompts
its popcorn day at last,Standard Prompts
trombone player hitting a cow with her slide,Standard Prompts
the Trojan platypus,Standard Prompts
dog that poops chocolates,Standard Prompts
wind-powered sailboat,Standard Prompts
The smell thief,Standard Prompts
i have merrily burped,Standard Prompts
baby's first knife,Standard Prompts
No one asked for this!!!,Standard Prompts
scram jam on my toast toast,Standard Prompts
please open door for chihuahua,Standard Prompts
woohoo got my pants taylored,Standard Prompts
on ur marks.. get set... go!,Standard Prompts
can you smell my cooking,Standard Prompts
healthy puppet,Standard Prompts
trail of bread crumbs,Standard Prompts
plane oxygen masks all smells,Standard Prompts
i think i'm bad at drawful,Standard Prompts
leaking slime out of my skin,Standard Prompts
nice doing bisquick with you,Standard Prompts
melting zookeeper,Standard Prompts
earthworm that's totally jacked,Standard Prompts
a staircase to the sky.sky is cream soda,Standard Prompts
a mustache who has a goatee,Standard Prompts
cheese betrayal,Standard Prompts
BBQ Warriors,Standard Prompts
pocket watchdog,Standard Prompts
coat rack thief,Standard Prompts
national dandruff memorial,Standard Prompts
awkward swimming pool,Standard Prompts
graveyard but no one's dead,Standard Prompts
beautiful day for street fights,Standard Prompts
I took donuts into my chambers,Standard Prompts
no love for possum,Standard Prompts
spaghetti protects itself,Standard Prompts
"1 hand on piano, 1 hand on a bird",Standard Prompts
slice of pizza as a bookmark,Standard Prompts
the tidal wave is on fire,Standard Prompts
inside joke,Standard Prompts
1 hour from now,Standard Prompts
unbearable awkward tension,Standard Prompts
this is why life is good,Standard Prompts
the greatest invention ever,Standard Prompts
my favorite shapes,Standard Prompts
a.i. a.i. matey,Standard Prompts
pawn shop buys my legs,Standard Prompts
angry macy's balloon!,Standard Prompts
four eels have a crush on the same oyster,Standard Prompts
sluggage,Standard Prompts
get strong for paw paw,Standard Prompts
magnet for your magnet,Standard Prompts
the 90s are fuzzy,Standard Prompts
renovate my heart,Standard Prompts
big honkin' diamond,Standard Prompts
"the periodic table, licked",Standard Prompts
dont forget lotion,Standard Prompts
mummys little man,Standard Prompts
headphones caught on the bus door,Standard Prompts
race car the space car,Standard Prompts
a paper plane pilot,Standard Prompts
damp handshake,Standard Prompts
incredibly grumpy apple,Standard Prompts
horse fishing in america,Standard Prompts
beetle in her 40s. she rocks.,Standard Prompts
injecting velveeta into my veins,Standard Prompts
"whoops, grew a snout",Standard Prompts
xo xo... gossip gargoyle,Standard Prompts
it's time to plaaaay: toss! that! skull!,Standard Prompts
a big grinner and her chicken dinner,Standard Prompts
riding a lil cloud :'),Standard Prompts
chug! chug! chug!,Standard Prompts
opening my mouth as wide as possible,Standard Prompts
lady flying (head propellers),Standard Prompts
dancing with my best .... enemy >:[,Standard Prompts
hold up jeff knows bongos? since when,Standard Prompts
lightning striking thrice,Standard Prompts
huh... my feet are smoking,Standard Prompts
armadillo getting towed,Standard Prompts
three heads fight for control of body,Standard Prompts
hailing an 8 door taxi cab,Standard Prompts
spider modelling a raindrop as a hat,Standard Prompts
there's a gift under my wig,Standard Prompts
i wanna play The Wheel,Standard Prompts
visual representation of this music,Standard Prompts
time to humiliate my attorney,Standard Prompts
"hit the gas, crab",Standard Prompts
"happy birthday, ancient moose",Standard Prompts
who's up for a lil... game of thrones?,Standard Prompts
To Lebron be the glory!,Standard Prompts
nuclear burp,Standard Prompts
dragon biting the moon,Standard Prompts
Armpit watterfalls,Standard Prompts
"octopus at bat, bunting",Standard Prompts
clappin lobster with big human hands,Standard Prompts
toy vending machine,Standard Prompts
rat romeo and pigeon juliet,Standard Prompts
llama belching popcorn on a date,Standard Prompts
a pigeon mindcontroling a man to buy bread,Standard Prompts
baby stroller rolling far awayyyy,Standard Prompts
scary scary hummingbird,Standard Prompts
foggy dogs,Standard Prompts
heavy handkerchief,Standard Prompts
kangaroo talk show...confrontation time!,Standard Prompts
the big nightmare,Standard Prompts
my pants are leg mittens,Standard Prompts
"smile, my rectangle baby",Standard Prompts
daddy of the gecko ;),Standard Prompts
stanky boy buys cologne.,Standard Prompts
mother tumbleweed and her children,Standard Prompts
"it's caviar, darling",Standard Prompts
penguin ear piercing,Standard Prompts
a snake with a snake tattoo,Standard Prompts
boombox in a fish tank,Standard Prompts
tyrannosaurus trainwrecks,Standard Prompts
this! frog! is on fireeeee,Standard Prompts
bagel and cream fleas,Standard Prompts
all signs point to yeast,Standard Prompts
sweet jerome climbs the hill,Standard Prompts
flirtatious laundry machine,Standard Prompts
a monkey deadlifting a baby lion,Standard Prompts
NPR is making me sleepy,Standard Prompts
the little drummer boy is an ant today,Standard Prompts
cartoon,Standard Prompts
please don't do this again,Standard Prompts
rock............................and roll!,Standard Prompts
doctors are obsessed with nana's cataracts,Standard Prompts
swallowing a puffer fish whole,Standard Prompts
chompin grass.. chomp chomp,Standard Prompts
cutting in line for the guillotine,Standard Prompts
a coward's feast,Standard Prompts
worst thing to see in the mirror,Standard Prompts
a gosling: out for revenge,Standard Prompts
the villain made this cake,Standard Prompts
boom boom cow,Standard Prompts
kitty quits!!,Standard Prompts
the old head switcheroo,Standard Prompts
lady mountainpants,Standard Prompts
young oyster with bad attitude,Standard Prompts
i am in love! with tennis creature,Standard Prompts
i clant backspace,Standard Prompts
Miss Rigatoni Funkybeat,Standard Prompts
"hot grandpa, next exit",Standard Prompts
tripping into a pool.,Standard Prompts
one more sit-up then you can die,Standard Prompts
basketballs playing baseball,Standard Prompts
pig using straightening iron on tail,Standard Prompts
many grubs escaping a coin purse,Standard Prompts
"this is my husband, jack-in-the-box",Standard Prompts
lady spit out by a venus flytrap,Standard Prompts
long walk with a model of a helium atom,Standard Prompts
wearing funeral clogs to a wedding,Standard Prompts
the state of texas flirting,Standard Prompts
death by 1000 flicks,Standard Prompts
fdr in da house!,Standard Prompts
porcupine with lightsaber needles,Standard Prompts
removing tonsils by hand,Standard Prompts
elephant shows up with flowers? lock him out,Standard Prompts
baking banana bun muffins,Standard Prompts
the dizziest goblin succeeded,Standard Prompts
1 rollerskate just zoomin,Standard Prompts
the harry potter screaming mail is barfing,Standard Prompts
lemonade stand mafia,Standard Prompts
bungee umbilical cord,Standard Prompts
anticlimactic dynamite,Standard Prompts
"oui oui immigrate to me, crabette",Standard Prompts
the life and times of a vegan vampire,Standard Prompts
magnetic pants,Standard Prompts
unibrow deep in thought,Standard Prompts
a billion legal smiles,Standard Prompts
humpty dumpty pole vaulting,Standard Prompts
the sasquatch samba,Standard Prompts
cyclops pulling an all-nighter,Standard Prompts
breaking news bear has bad news,Standard Prompts
uncle alfredo,Standard Prompts
dinosaurs came back and they hate it here,Standard Prompts
slurping the infinity noodle,Standard Prompts
pattyyyyyy! come down from that beanstalk,Standard Prompts
playing harp with my saw,Standard Prompts
pirates commandeering my mailbox,Standard Prompts
replacing the lightbulb in the sun,Standard Prompts
shark convict on the run,Standard Prompts
grass growing on my favorite foot,Standard Prompts
slapping the swedish megastore,Standard Prompts
"at last, gail has gone beserk",Standard Prompts
you just missed the gravy boat,Standard Prompts
you can tell this person hates music + love,Standard Prompts
guy fieri army,Standard Prompts
chewing brisket for 40 years,Standard Prompts
grim reaper playing peek a boo,Standard Prompts
centaur hates his hooves,Standard Prompts
my fanny pack is in shambles,Standard Prompts
growth spurt but just one leg and butt,Standard Prompts
jet ski accidentally leaving earth,Standard Prompts
direct flight: angry to sad,Standard Prompts
teacher's on pop rocks again,Standard Prompts
what the eff a cowboy has slapped me,Standard Prompts
pure panic in the snow globe,Standard Prompts
middle aged balding porcupines,Standard Prompts
why i maintain one extremely long pinky nail,Standard Prompts
a rickety bridge from earth to mars,Standard Prompts
flickering candle in a cave by the sea,Standard Prompts
"1 smile, then he dead",Standard Prompts
now that's what i call mulch,Standard Prompts
locking the door to Heck,Standard Prompts
bonked ya! bonk bonk,Standard Prompts
woow you don't get punk at all...,Standard Prompts
nanny of the future stuck in the past,Standard Prompts
garbage disposal? for lemons and limes,Standard Prompts
taming eggs that only respond to violence,Standard Prompts
a root toot tooting the turkey away,Standard Prompts
ooooh multi-barf,Standard Prompts
"vomit, but fun",Standard Prompts
love notes from the monster under my bed,Standard Prompts
my shoe shoots bubbles yo,Standard Prompts
facetune the man in da moon,Standard Prompts
reverse rapunzel,Standard Prompts
its..edible megaphone,Standard Prompts
