Name,Description
Problem,I’m always losing my _____!
Problem,I’m tired of not being able to _____!
Problem,"In five years, we’ll all say “We should’ve stopped _____.”"
Problem,There’s gotta be a way to make _____ less boring!
Problem,I would get more work done if I didn’t have to _____!
Problem,My garden is infested with _____!
Problem,They won’t let me take my _____ on airplanes!
Problem,My kids won’t leave _____ alone!
Problem,My baby needs to learn to _____!
Problem,I want to make my own _____!
Problem,Why can’t _____ be cheaper?!
Problem,I hate to fly because of _____.
Problem,_____ keeps me from working out!
Problem,I find _____ to be straight-up confusing.
Problem,I’m always tired because I _____!
Problem,I want to always have _____ with me!
Problem,I need more _____ in my diet.
Problem,"Every time I turn on the tv, I see _____."
Problem,People always ask me for _____.
Problem,_____ keep appearing on my doorstep!
Problem,I’m always craving _____!
Problem,I can never remember my _____.
Problem,I’m constantly running from _____.
Problem,I find _____ to be very disagreeable.
Problem,I absolutely hate the sound of _____.
Problem,I wish _____ was more accessible.
Problem,_____ terrifies me!
Problem,I’m embarrassed to love _____!
Problem,I keep getting arrested for _____!
Problem,I really miss _____!
Problem,My _____ keeps coming back!
Problem,I want to _____ with my family!
Problem,I can never get caught up on _____!
Problem,I wish I knew what is was like to be _____.
Problem,I hate waiting more than five minutes for _____!
Problem,I wish I could always be in _____!
Problem,I hate to eat _____!
Problem,I want to learn more about _____!
Problem,I want to see more _____!
Problem,_____ are too tall!
Problem,I don’t look good in _____!
Problem,I never have a _____ when I need one!
Problem,Whenever I host a dinner _____ shows up!
Problem,I hate going to _____!
Problem,My friends are too busy with their _____!
Problem,"Everywhere I look, I see _____!"
Problem,I don’t like amusement parks because of _____!
Problem,I have a hard time finding _____!
Problem,I want everyone to see _____!
Problem,I want to cover up _____!
Problem,I need a way to cheat _____!
Problem,I’m afraid of choking on _____!
Problem,I don’t want to think about _____ again!
Problem,I hate the taste of _____!
Problem,My coworkers never _____!
Problem,I suspect my neighbor is _____!
Problem,I cracked my _____!
Problem,I need a more powerful _____!
Problem,I hate _____ by myself!
Problem,Nobody will _____ me anymore!
Problem,I have a hard time keeping _____!
Problem,"I spilled _____, everywhere!"
Problem,I want to know about the latest _____!
Problem,My relatives left a bunch of _____ at my house!
Problem,There’s a hole in my _____!
Problem,I can’t avoid _____!
Problem,I keep putting off _____!
Problem,My _____ grows too fast!
Problem,I can’t see _____!
Problem,I’m always getting stuck with _____!
Problem,I want to impress people with _____!
Problem,My _____ keeps getting wet!
Problem,I can’t quite reach _____!
Problem,I’m having a hard time grasping _____!
Problem,I want to get slowly involved in _____
Problem,I wish everyone would _____!
Problem,I need a way to measure _____!
Problem,I want to pay tribute to _____.
Problem,I seriously need to reduce my _____!
Problem,All I want is to be _____!
Problem,I need to catch _____!
Problem,I want to prove _____!
Problem,I wish I could _____ faster!
Problem,I hate it when my _____ smells!
Problem,I’ll scream if I have to _____ again!
Problem,I’m always sore because I _____ too much!
Problem,I get grossed out by _____!
Problem,I’m way too old to _____!
Problem,People tell me I _____ too much!
Problem,I don’t want to _____ anymore!
Problem,I hate talking during _____!
Problem,My _____ is gonna kill me one of these days!
Problem,I hate having to _____ in the morning!
Problem,People keep giving me _____!
Problem,I need an easier _____!
Problem,It’s getting harder and harder to find _____!
Problem,I’ve Humsafar three jobs because I _____!
Problem,I wish I were more comfortable _____!
Problem,I’m trying to quit _____!
Problem,I’m always sad after _____!
Problem,I have no social life because of _____!
Problem,I can't eat biryani without _____!
Problem,Load shedding always happens when I _____!
Problem,My ammi always scolds me for _____!
Problem,I need a way to spot _____ at weddings!
Problem,Traffic is terrible because of _____!
Problem,I wish I could bargain for _____!
Problem,I need a robot to handle my _____!
Problem,Rishta aunties are obsessed with _____!
Problem,I can't survive the summer without _____!
Problem,I need an invention to hide my _____ from guests!
Problem,My tailor always ruins my _____!
Problem,I wish there was an app for _____!
Problem,I need a way to smuggle _____ into the house!
Problem,Desi parents never understand _____!
Problem,I need a fast lane for _____!
Problem,I wish I could filter out _____ from my life!
Problem,I need a mute button for _____!
Problem,I want to automate _____!
Problem,My life would be perfect if I could just _____!
Problem,I can never find a matching _____!
Problem,I need a safer way to eat _____!
Problem,My chai is always too _____!
Problem,I wish I could carry _____ in my pocket!
Problem,I need a waterproof _____!
Problem,I'm tired of untangling my _____!
Problem,I need a silent _____!
Problem,I wish my phone could _____!
Problem,I need a device to find my _____!
Problem,I want to instantly clean my _____!
Problem,I need a lock for my _____!
Problem,I wish I could skip _____ at family gatherings!
Problem,My chappals always break when I _____!
Problem,I need a way to protect my _____ from the smog!
Problem,Rickshaw drivers always overcharge for _____!
Problem,I can't believe my phuppo said _____!
Problem,My wifi only works when I _____!
Problem,I need an alarm clock that feels like _____!
Problem,I wish I could eat _____ without gaining weight!
Problem,My laundry pile looks like a _____!
Problem,I need a drone to deliver my _____!
Problem,I wish my car could fly over _____!
Problem,The shopkeeper refused to return my _____!
Problem,I need a secret compartment for my _____!
Problem,My boss always calls when I'm _____!
Problem,I wish I could teleport away from _____!
Problem,I need a universal remote for _____!
Problem,My neighbor's kid keeps stealing my _____!
Problem,I wish I could pause time to _____!
Problem,I need a robot that can make perfect _____!
Problem,My phone battery dies whenever I _____!
Problem,I wish I could mute my _____!
Problem,I need a self-cleaning _____!
Problem,My bank account cries when I _____!
Problem,I wish I could trade my _____ for a pizza!
Problem,I need a pocket-sized _____!
Problem,My haircut looks like a _____!
Problem,I wish I could speed up _____!
Problem,I need a translator for my _____!
Problem,My shoes always smell like _____!
Problem,I wish I could invisible-cloak my _____!
Problem,I need a GPS tracker for my _____!
Problem,My tea gets cold when I _____!
Problem,I wish I could download _____ directly to my brain!
Problem,I need a machine that folds _____!
Problem,My umbrella always flips inside out during _____!
Problem,I wish I could unsubscribe from _____!
Problem,I need a smart mirror that tells me _____!
Problem,My socks always disappear in the _____!
Problem,I wish I could pay for things with _____!
Problem,I need a device that detects _____!
Problem,My brain freezes when I see _____!
Problem,I wish I could Ctrl+Z my _____!
Problem,I need a shield against _____!
Problem,My pillow is never cool enough for _____!
Problem,I wish I could block _____ in real life!
Problem,I need a lie detector for my _____!
Problem,My cat judges me for _____!
Problem,I wish I could summon _____ with a snap!
Problem,I need a portable _____!
Problem,My weekends are ruined by _____!
Problem,I wish I could duplicate my _____!
Problem,I need a stain remover for my _____!
Problem,My leftovers always taste like _____!
Problem,I wish I could delete _____ from my memory!
Problem,I need a password manager for my _____!
Problem,My alarm clock sounds like a _____!
Problem,I wish I could customize my _____!
Problem,I need a filter for _____!
Problem,My wallet is allergic to _____!
Problem,I wish I could upgrade my _____!
Problem,I need a turbo button for _____!
Problem,My mood depends on _____!
Problem,I wish I could send _____ to space!
Problem,I need a refund for my _____!
Problem,My shadow looks like a _____!
Problem,I wish I could fast forward through _____!
Problem,I need a backup plan for _____!
Problem,My dream job involves _____!
Problem,I wish I could re-roll my _____!
Problem,I need a tutorial for _____!
Problem,My handwriting looks like _____!
Problem,I wish I could auto-correct my _____!
Problem,I need a magnifying glass for _____!
Problem,My patience runs out when _____!
Problem,I wish I could swap lives with _____!
Problem,I need a safety net for _____!
Problem,My reflection shows me _____!
Problem,I wish I could freeze _____!
Problem,I need a mute button for my _____!
Problem,My secrets are safe with _____!
Problem,I wish I could google my _____!
Problem,I need a hashtag for _____!
Problem,My playlist is full of _____!
Problem,I wish I could retweet my _____!
Problem,I need a charger for my _____!
Problem,My inbox is flooding with _____!
Problem,I wish I could unfollow _____!
Problem,I need a status update for _____!
Problem,My profile picture needs more _____!
Problem,I wish I could like my own _____!
Problem,I need a notification for _____!
Problem,My timeline is clogged with _____!
Problem,I wish I could share _____!
Problem,I need a direct message from _____!
Problem,My followers want more _____!
Problem,I wish I could trend for _____!
Problem,I need a verified badge for _____!
Problem,My bio says I love _____!
Problem,I wish I could live stream my _____!
Problem,I need a filter that hides _____!
Customer,Actor
Customer,Alien Abductee
Customer,Alien
Customer,Amputee
Customer,Astronaut
Customer,Artist
Customer,Babysitter
Customer,Cafe Server
Customer,Bank Robber
Customer,Biker
Customer,Beach Bum
Customer,Billionaire
Customer,Beggar
Customer,Meeting Rishta
Customer,Big Foot
Customer,Bouncer
Customer,Bridesmaid
Customer,Camp Counselor
Customer,Bull Fighter
Customer,Camper
Customer,Bungee Jumper
Customer,Caveman
Customer,Castaway
Customer,Cheerleader
Customer,Chef
Customer,Class Clown
Customer,Coach
Customer,Clown
Customer,Coal Miner
Customer,Cowboy
Customer,Comedian
Customer,Cupid
Customer,Couch Potato
Customer,Dad
Customer,Dictator
Customer,Dare Devil
Customer,Drill Sergeant
Customer,Diva
Customer,Dumpster Diver
Customer,Doctor
Customer,Executioner
Customer,Dog
Customer,Fire Fighter
Customer,Fashion Model
Customer,Fortune Teller
Customer,Fisherman
Customer,Geek
Customer,College Student
Customer,Gladiator
Customer,Investor
Customer,Grandma
Customer,Goon
Customer,High School Dropout
Customer,Ghost
Customer,Hippie
Customer,Girl Scout
Customer,Hitch Hiker
Customer,Grave Robber
Customer,Hobo
Customer,Haunted House Actor
Customer,Immigrant
Customer,High School Student
Customer,Insomniac
Customer,Hostage
Customer,Kindergartener
Customer,Hunter
Customer,Life Guard
Customer,Janitor
Customer,Last Person On Earth
Customer,Best Friends
Customer,Lawyer
Customer,Lumberjack
Customer,Little Red Ridinghood
Customer,Masseuse
Customer,Lottery Winner
Customer,Missionary
Customer,Mad Scientist
Customer,Mob Boss
Customer,Magician
Customer,Nanny
Customer,Monk
Customer,Navy Seal
Customer,Mortician
Customer,Newlywed
Customer,Ninja
Customer,Paper Boy
Customer,Nurse
Customer,Pharaoh
Customer,Olympic Athlete
Customer,Pirate
Customer,Paparazzi
Customer,Pizza Deliverer
Customer,Social butterfly
Customer,Police Officer
Customer,Dinner Host
Customer,Poet
Customer,Politician
Customer,Prisoner of War
Customer,Pregnant Woman
Customer,Prison Guard
Customer,Imam
Customer,Pro Wrestler
Customer,Princess
Customer,Quarterback
Customer,Rioter
Customer,Protester
Customer,Robot
Customer,Queen
Customer,Rapper
Customer,Roommate
Customer,Referee
Customer,School Bus Driver
Customer,Rock Climber
Customer,Soldier
Customer,Runaway
Customer,Space Colonist
Customer,Gift Giver
Customer,Sports Fan
Customer,Secret Admirer
Customer,Sports Mascot
Customer,Senior Citizen
Customer,Spy
Customer,Snowman
Customer,Substitute Teacher
Customer,Tailgater
Customer,Stewardess
Customer,Tarzan
Customer,Super Hero
Customer,Taxi Driver
Customer,Surfer
Customer,Teenager
Customer,Teacher
Customer,Tourist
Customer,The President
Customer,Vampire
Customer,Therapist
Customer,Villain
Customer,Toddler
Customer,Waitress
Customer,Treasure Hunter
Customer,Witch
Customer,Tree Hugger
Customer,Wizard
Customer,Trucker
Customer,Zombie
